Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,3.138124,-2.531437,886.253615,-24.737727,-63.047626,-0.656399,0.071139,-0.027913
1.000000,0.001000,3.138992,-2.530465,885.889797,-24.668877,-63.096764,-0.656600,0.071224,-0.027846
2.000000,0.002000,3.139287,-2.530363,886.254007,-24.738266,-63.144925,-0.656551,0.071249,-0.027913
3.000000,0.003000,3.138972,-2.530878,885.889654,-24.807916,-63.193958,-0.656341,0.071334,-0.028003
4.000000,0.004000,3.139546,-2.530007,885.161626,-24.669676,-63.194936,-0.656592,0.071394,-0.027870
5.000000,0.005000,3.137956,-2.529954,885.518980,-24.740950,-63.244486,-0.715690,0.071421,-0.027939
6.000000,0.006000,3.134349,-2.316111,885.521689,-24.755866,-63.244158,-0.686175,0.071420,-0.027956
7.000000,0.007000,3.133481,-2.317083,885.885507,-24.824717,-63.195019,-0.685973,0.071335,-0.028022
8.000000,0.008000,3.134349,-2.316111,885.521689,-24.755866,-63.244158,-0.686175,0.071420,-0.027956
9.000000,0.009000,3.347629,-2.311815,885.525645,-24.755528,-63.227868,-0.726123,0.071402,-0.027956
10.000000,0.010000,3.138251,-2.529852,885.883190,-24.810340,-63.292647,-0.715641,0.071446,-0.028006
11.000000,0.011000,3.351531,-2.525556,885.887146,-24.810001,-63.276357,-0.755589,0.071427,-0.028006
12.000000,0.012000,3.351531,-2.525556,885.887146,-24.810001,-63.276357,-0.755589,0.071427,-0.028006
13.000000,0.013000,3.342138,-2.098020,885.521497,-24.772329,-63.228929,-0.755755,0.071403,-0.027975
14.000000,0.014000,3.346039,-2.311761,885.882999,-24.826802,-63.277418,-0.785221,0.071429,-0.028025
15.000000,0.015000,3.346039,-2.311761,885.882999,-24.826802,-63.277418,-0.785221,0.071429,-0.028025
16.000000,0.016000,3.345725,-2.312277,885.518646,-24.896452,-63.326452,-0.785012,0.071513,-0.028115
17.000000,0.017000,3.345725,-2.312277,885.518646,-24.896452,-63.326452,-0.785012,0.071513,-0.028115
18.000000,0.018000,3.132176,-2.316982,885.521221,-24.895397,-63.341587,-0.825142,0.071530,-0.028114
19.000000,0.019000,3.132373,-2.317142,885.159205,-24.964646,-63.293617,-0.825408,0.071505,-0.028204
20.000000,0.020000,3.132176,-2.316982,885.521221,-24.895397,-63.341587,-0.825142,0.071530,-0.028114
21.000000,0.021000,3.135980,-2.530985,885.156497,-24.949730,-63.293946,-0.854924,0.071506,-0.028187
22.000000,0.022000,3.126882,-2.103347,885.155058,-24.981447,-63.294678,-0.855040,0.071507,-0.028223
23.000000,0.023000,3.130489,-2.317190,885.152350,-24.966531,-63.295007,-0.884556,0.071507,-0.028206
24.000000,0.024000,3.130489,-2.317190,885.152350,-24.966531,-63.295007,-0.884556,0.071507,-0.028206
25.000000,0.025000,3.130489,-2.317190,885.152350,-24.966531,-63.295007,-0.884556,0.071507,-0.028206
26.000000,0.026000,3.129925,-2.317701,884.794671,-24.895748,-63.245691,-0.964684,0.071481,-0.028137
27.000000,0.027000,3.130220,-2.317600,885.158881,-24.965138,-63.293852,-0.964634,0.071506,-0.028204
28.000000,0.028000,2.915777,-2.322970,885.154533,-24.964938,-63.212842,-0.924534,0.071414,-0.028204
29.000000,0.029000,3.130123,-2.317861,884.432655,-24.964997,-63.197722,-0.964950,0.071456,-0.028227
30.000000,0.030000,3.133729,-2.531704,884.429946,-24.950081,-63.198051,-0.994466,0.071456,-0.028210
31.000000,0.031000,3.123763,-2.105039,884.792326,-25.050649,-63.149645,-0.994381,0.071372,-0.028312
32.000000,0.032000,2.913821,-2.323588,884.792193,-25.034678,-63.165108,-1.064026,0.071390,-0.028294
33.000000,0.033000,2.914689,-2.322615,884.428375,-24.965828,-63.214247,-1.064228,0.071475,-0.028228
34.000000,0.034000,2.913506,-2.324103,884.427840,-25.104328,-63.214142,-1.063817,0.071475,-0.028385
35.000000,0.035000,2.913821,-2.323588,884.792193,-25.034678,-63.165108,-1.064026,0.071390,-0.028294
36.000000,0.036000,2.913212,-2.324204,884.063630,-25.034938,-63.165981,-1.063867,0.071450,-0.028318
37.000000,0.037000,2.913212,-2.324204,884.063630,-25.034938,-63.165981,-1.063867,0.071450,-0.028318
38.000000,0.038000,2.913526,-2.323689,884.427983,-24.965289,-63.116947,-1.064076,0.071365,-0.028228
