Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,1.397208,-40.987674,910.562578,-83.296593,-64.174843,-4.984606,0.070478,-0.091478
1.000000,0.001000,1.383926,-40.344578,911.279441,-82.789405,-64.077760,-4.874895,0.070316,-0.090850
2.000000,0.002000,1.152610,-39.493370,911.279556,-82.294946,-63.995203,-4.855718,0.070226,-0.090307
3.000000,0.003000,0.924758,-38.856372,910.179852,-81.856472,-63.867031,-4.786085,0.070170,-0.089934
4.000000,0.004000,0.916088,-38.428097,910.178830,-81.331350,-63.768606,-4.726661,0.070062,-0.089358
5.000000,0.005000,1.115477,-37.781321,910.171085,-80.824083,-63.656106,-4.656739,0.069939,-0.088801
6.000000,0.006000,1.101891,-37.138379,909.437888,-80.177522,-63.559719,-4.627198,0.069889,-0.088162
7.000000,0.007000,0.873582,-36.501577,909.792581,-79.738390,-63.429506,-4.557257,0.069719,-0.087645
8.000000,0.008000,0.866096,-36.071814,909.792095,-79.074767,-63.331185,-4.498243,0.069611,-0.086915
9.000000,0.009000,0.848131,-35.215741,910.151650,-78.512113,-63.281462,-4.438669,0.069528,-0.086263
10.000000,0.010000,0.824776,-34.146294,909.418816,-78.035369,-63.088700,-4.409310,0.069373,-0.085808
11.000000,0.011000,0.807385,-33.289350,909.050344,-77.334474,-63.039954,-4.349987,0.069347,-0.085072
12.000000,0.012000,0.784127,-32.219641,909.043736,-76.857870,-62.943322,-4.320311,0.069241,-0.084548
13.000000,0.013000,0.766649,-31.362904,909.034887,-76.226819,-62.749590,-4.181184,0.069029,-0.083855
14.000000,0.014000,0.754058,-30.721301,908.672220,-75.786263,-62.699870,-4.092036,0.069002,-0.083403
15.000000,0.015000,0.521441,-29.869217,909.023301,-75.225432,-62.570822,-4.052136,0.068833,-0.082754
16.000000,0.016000,0.721089,-29.222085,907.923176,-74.649575,-62.508334,-3.982256,0.068848,-0.082220
17.000000,0.017000,0.706928,-28.580014,907.918006,-74.141253,-62.410969,-3.952464,0.068741,-0.081661
18.000000,0.018000,0.476750,-27.727424,907.547772,-73.579337,-62.378704,-3.853410,0.068733,-0.081075
19.000000,0.019000,0.463163,-27.084483,906.814575,-72.932775,-62.282318,-3.823869,0.068683,-0.080427
20.000000,0.020000,0.449003,-26.442412,906.809406,-72.424454,-62.184953,-3.794077,0.068576,-0.079867
21.000000,0.021000,0.648097,-25.795738,906.437451,-71.847798,-62.024293,-3.724205,0.068426,-0.079264
22.000000,0.022000,0.636492,-25.152487,906.437336,-71.199492,-62.022647,-3.635200,0.068425,-0.078549
23.000000,0.023000,0.839802,-24.719039,906.791235,-70.607660,-61.861442,-3.595003,0.068220,-0.077865
24.000000,0.024000,1.039181,-24.072316,905.697641,-70.030409,-61.797799,-3.605201,0.068232,-0.077322
25.000000,0.025000,1.021531,-23.215728,906.421549,-69.398105,-61.699042,-3.545836,0.068069,-0.076563
26.000000,0.026000,1.220625,-22.569053,906.049595,-68.821449,-61.538382,-3.475964,0.067919,-0.075958
27.000000,0.027000,0.993855,-21.930146,906.038668,-68.175367,-61.554415,-3.406159,0.067938,-0.075246
28.000000,0.028000,1.193549,-21.282909,905.309426,-67.528467,-61.441739,-3.416566,0.067868,-0.074592
29.000000,0.029000,1.179094,-20.640940,904.940047,-66.950756,-61.296213,-3.386823,0.067735,-0.073984
30.000000,0.030000,1.380215,-19.993850,905.672058,-66.301313,-61.180106,-3.337775,0.067552,-0.073207
31.000000,0.031000,1.583882,-19.559784,905.659803,-65.641030,-61.165042,-3.297304,0.067536,-0.072479
32.000000,0.032000,1.575212,-19.131509,905.658781,-65.115908,-61.066617,-3.237880,0.067428,-0.071899
33.000000,0.033000,1.560758,-18.489540,905.289402,-64.538197,-60.921092,-3.208138,0.067295,-0.071290
34.000000,0.034000,1.546974,-17.846439,904.918221,-63.822387,-60.872674,-3.178330,0.067269,-0.070528
35.000000,0.035000,1.532813,-17.204368,904.913052,-63.314065,-60.775309,-3.148538,0.067161,-0.069967
36.000000,0.036000,1.304901,-16.566122,904.901876,-62.528405,-60.596849,-3.078840,0.066965,-0.069100
37.000000,0.037000,1.296232,-16.137846,904.900854,-62.003283,-60.498423,-3.019416,0.066856,-0.068519
38.000000,0.038000,1.278170,-15.282034,904.534183,-61.440488,-60.352570,-2.960158,0.066722,-0.067925
39.000000,0.039000,0.837557,-14.647935,904.161622,-60.723962,-60.335576,-2.930532,0.066731,-0.067161
40.000000,0.040000,1.042437,-14.214953,904.158025,-60.199894,-60.222016,-2.830979,0.066606,-0.066581
41.000000,0.041000,0.815311,-13.576664,904.513253,-59.622262,-60.091907,-2.761448,0.066436,-0.065916
42.000000,0.042000,0.380092,-13.156621,903.418613,-58.888795,-59.977723,-2.702506,0.066390,-0.065184
43.000000,0.043000,0.579501,-12.509431,903.411011,-58.242489,-59.768030,-2.632843,0.066158,-0.064470
44.000000,0.044000,0.147807,-12.304160,903.043884,-57.770984,-59.653388,-2.603383,0.066058,-0.063974
45.000000,0.045000,0.135039,-11.661983,903.043377,-57.122139,-59.554443,-2.514226,0.065949,-0.063255
46.000000,0.046000,-0.088535,-11.237696,901.939163,-56.530650,-59.523707,-2.474043,0.065995,-0.062677
47.000000,0.047000,-0.523836,-10.818583,901.574745,-56.074061,-59.408737,-2.415068,0.065894,-0.062196
48.000000,0.048000,-0.531617,-10.388921,901.210048,-55.341049,-59.262255,-2.356104,0.065759,-0.061407
49.000000,0.049000,-0.759057,-9.751147,901.200923,-54.833066,-59.181180,-2.286364,0.065669,-0.060844
50.000000,0.050000,-0.981104,-9.327429,900.469719,-54.308142,-59.002914,-2.187308,0.065525,-0.060311
51.000000,0.051000,-0.985852,-9.112481,900.830342,-53.698454,-58.855784,-2.157609,0.065335,-0.059610
52.000000,0.052000,-1.204560,-8.903016,900.102961,-53.157221,-58.676692,-2.168147,0.065189,-0.059057
53.000000,0.053000,-1.423020,-8.693555,899.368906,-52.756420,-58.595948,-2.098348,0.065152,-0.058659
54.000000,0.054000,-1.435800,-8.050157,899.002256,-52.178847,-58.450720,-2.069233,0.065017,-0.058041
55.000000,0.055000,-1.648454,-8.053975,898.636701,-51.691595,-58.319882,-1.970011,0.064898,-0.057522
56.000000,0.056000,-1.872359,-7.630614,898.269383,-51.236552,-58.190011,-2.010131,0.064780,-0.057039
57.000000,0.057000,-2.094111,-7.206794,897.902389,-50.781018,-58.059906,-1.911026,0.064662,-0.056555
58.000000,0.058000,-2.098108,-6.991550,897.172825,-50.241378,-57.962978,-1.881585,0.064606,-0.056000
59.000000,0.059000,-2.316619,-6.782244,896.083428,-49.769393,-57.735917,-1.892390,0.064431,-0.055541
60.000000,0.060000,-2.534469,-6.572167,896.077936,-49.368332,-57.654301,-1.822750,0.064341,-0.055094
61.000000,0.061000,-2.544272,-6.143642,894.979871,-48.915143,-57.607468,-1.822733,0.064367,-0.054655
62.000000,0.062000,-2.763357,-5.935208,894.618502,-48.581398,-57.379429,-1.833286,0.064138,-0.054304
63.000000,0.063000,-2.762731,-5.934730,894.256903,-48.093808,-57.232301,-1.774013,0.064000,-0.053781
64.000000,0.064000,-3.190326,-5.943361,893.889262,-47.746025,-57.118179,-1.774285,0.063898,-0.053414
