Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-7.880331,0.381251,894.056332,5.475363,-7.497599,0.795355,0.008386,0.006124
1.000000,0.001000,-8.088389,0.162750,894.063054,5.493218,-7.511673,0.784857,0.008402,0.006144
2.000000,0.002000,-8.093611,0.376955,894.052376,5.475024,-7.513889,0.835304,0.008404,0.006124
3.000000,0.003000,-7.880331,0.381251,894.056332,5.475363,-7.497599,0.795355,0.008386,0.006124
4.000000,0.004000,-8.093611,0.376955,894.052376,5.475024,-7.513889,0.835304,0.008404,0.006124
5.000000,0.005000,-8.093611,0.376955,894.052376,5.475024,-7.513889,0.835304,0.008404,0.006124
6.000000,0.006000,-8.092743,0.377927,893.688558,5.543874,-7.563027,0.835102,0.008463,0.006203
7.000000,0.007000,-8.092626,0.378603,894.414927,5.682773,-7.561963,0.835160,0.008455,0.006354
8.000000,0.008000,-8.092920,0.378501,894.050717,5.752163,-7.513802,0.835110,0.008404,0.006434
9.000000,0.009000,-8.098214,0.592136,893.684554,5.666112,-7.466894,0.805212,0.008355,0.006340
10.000000,0.010000,-8.092940,0.378087,894.050574,5.613123,-7.610996,0.835369,0.008513,0.006278
11.000000,0.011000,-8.092367,0.378958,893.322546,5.751363,-7.611974,0.835118,0.008521,0.006438
12.000000,0.012000,-7.887601,0.811817,893.682885,5.788241,-7.548538,0.874923,0.008447,0.006477
13.000000,0.013000,-7.887601,0.811817,893.682885,5.788241,-7.548538,0.874923,0.008447,0.006477
14.000000,0.014000,-7.887601,0.811817,893.682885,5.788241,-7.548538,0.874923,0.008447,0.006477
15.000000,0.015000,-7.886732,0.812790,893.319067,5.857092,-7.597677,0.874721,0.008505,0.006557
16.000000,0.016000,-7.886732,0.812790,893.319067,5.857092,-7.597677,0.874721,0.008505,0.006557
17.000000,0.017000,-7.890339,1.026633,893.321775,5.842176,-7.597348,0.904237,0.008505,0.006540
18.000000,0.018000,-7.894962,1.241400,892.953810,5.894225,-7.647548,0.874404,0.008564,0.006601
19.000000,0.019000,-7.895159,1.241560,893.315826,5.963474,-7.695517,0.874670,0.008615,0.006676
20.000000,0.020000,-7.895454,1.241459,892.951616,6.032864,-7.647356,0.874621,0.008564,0.006756
21.000000,0.021000,-7.895454,1.241459,892.951616,6.032864,-7.647356,0.874621,0.008564,0.006756
22.000000,0.022000,-7.895651,1.241619,893.313632,6.102113,-7.695325,0.874887,0.008614,0.006831
23.000000,0.023000,-7.894468,1.243106,893.314167,6.240613,-7.695430,0.874477,0.008614,0.006986
24.000000,0.024000,-7.894783,1.242591,892.949814,6.170963,-7.744464,0.874686,0.008673,0.006911
25.000000,0.025000,-7.903566,1.670744,893.312728,6.208895,-7.696163,0.874361,0.008615,0.006950
26.000000,0.026000,-7.690017,1.675450,893.310153,6.207841,-7.681028,0.914491,0.008598,0.006949
27.000000,0.027000,-7.690017,1.675450,893.310153,6.207841,-7.681028,0.914491,0.008598,0.006949
28.000000,0.028000,-7.690215,1.675610,893.672169,6.277090,-7.728997,0.914757,0.008649,0.007024
29.000000,0.029000,-7.906502,1.885720,893.313635,6.332079,-7.792942,0.903941,0.008724,0.007088
30.000000,0.030000,-7.692953,1.890426,893.311059,6.331024,-7.777807,0.944071,0.008707,0.007087
31.000000,0.031000,-7.692638,1.890941,893.675412,6.400674,-7.728774,0.943862,0.008648,0.007162
32.000000,0.032000,-7.693150,1.890586,893.673075,6.400273,-7.825776,0.944338,0.008757,0.007162
33.000000,0.033000,-7.905562,1.887262,893.305302,6.468785,-7.891204,0.984085,0.008834,0.007241
34.000000,0.034000,-7.692282,1.891558,893.309257,6.469124,-7.874915,0.944137,0.008815,0.007242
35.000000,0.035000,-7.909169,2.101105,893.308010,6.453869,-7.890876,1.013600,0.008833,0.007225
36.000000,0.036000,-8.122915,2.096559,893.672602,6.524172,-7.953980,0.973737,0.008900,0.007300
37.000000,0.037000,-7.700709,2.320329,893.306017,6.575506,-7.972755,0.944085,0.008925,0.007361
38.000000,0.038000,-7.697102,2.106486,893.303308,6.590422,-7.973083,0.914570,0.008925,0.007378
39.000000,0.039000,-7.700709,2.320329,893.306017,6.575506,-7.972755,0.944085,0.008925,0.007361
40.000000,0.040000,-7.700906,2.320489,893.668033,6.644755,-8.020724,0.944352,0.008975,0.007435
41.000000,0.041000,-7.917747,2.530141,894.037670,6.700543,-7.986497,0.933528,0.008933,0.007495
42.000000,0.042000,-7.917793,2.530036,893.666785,6.629500,-8.036685,1.013816,0.008993,0.007418
43.000000,0.043000,-7.914069,2.316868,894.390446,6.783315,-8.035949,0.984357,0.008985,0.007584
44.000000,0.044000,-7.917676,2.530711,894.393154,6.768399,-8.035621,1.013873,0.008984,0.007568
45.000000,0.045000,-7.709887,2.748802,894.392963,6.751936,-8.020393,0.944293,0.008967,0.007549
46.000000,0.046000,-7.923167,2.744506,894.389007,6.751598,-8.036682,0.984241,0.008986,0.007549
47.000000,0.047000,-8.136913,2.739960,894.753599,6.821901,-8.099786,0.944377,0.009053,0.007624
48.000000,0.048000,-7.927240,2.958099,894.760263,6.807324,-8.083168,0.933945,0.009034,0.007608
49.000000,0.049000,-8.140520,2.953803,894.756307,6.806985,-8.099458,0.973893,0.009052,0.007608
50.000000,0.050000,-8.139849,2.954936,894.754505,6.945085,-8.196565,0.973958,0.009161,0.007762
51.000000,0.051000,-8.139849,2.954936,894.754505,6.945085,-8.196565,0.973958,0.009161,0.007762
52.000000,0.052000,-8.140915,2.954123,895.480339,6.945483,-8.195396,0.974426,0.009152,0.007756
53.000000,0.053000,-8.139732,2.955611,895.480874,7.083983,-8.195501,0.974015,0.009152,0.007911
54.000000,0.054000,-8.145223,3.169406,895.476727,7.067182,-8.196562,0.944383,0.009153,0.007892
55.000000,0.055000,-7.926086,2.960578,896.204525,7.082788,-8.276496,1.014461,0.009235,0.007903
56.000000,0.056000,-8.143536,3.169614,895.845599,7.138316,-8.243142,1.003797,0.009202,0.007968
57.000000,0.057000,-8.143439,3.169875,896.571825,7.138176,-8.339271,1.004113,0.009301,0.007962
58.000000,0.058000,-8.148910,3.384084,896.567821,7.260414,-8.243138,0.974223,0.009194,0.008098
59.000000,0.059000,-8.145500,3.170401,896.927128,7.344579,-8.291436,0.944974,0.009244,0.008189
60.000000,0.060000,-8.361788,3.380511,896.568594,7.399568,-8.355381,0.934158,0.009319,0.008253
