Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,3.682393,-10.007889,899.869703,-29.704416,-27.939888,1.992989,0.031049,-0.033010
1.000000,0.001000,3.472766,-10.225923,900.233923,-29.618796,-27.906318,1.923134,0.030999,-0.032901
2.000000,0.002000,3.686315,-10.221217,900.231347,-29.619851,-27.891183,1.963264,0.030982,-0.032902
3.000000,0.003000,3.682805,-10.007113,900.960282,-29.634907,-27.986984,1.993096,0.031064,-0.032893
4.000000,0.004000,3.896400,-10.002301,901.328591,-29.564919,-27.921661,1.952938,0.030978,-0.032801
5.000000,0.005000,3.682313,-10.007054,900.958088,-29.496269,-27.986793,1.993313,0.031063,-0.032739
6.000000,0.006000,3.682313,-10.007054,900.958088,-29.496269,-27.986793,1.993313,0.031063,-0.032739
7.000000,0.007000,3.901953,-10.215580,900.602373,-29.410278,-28.018581,1.982795,0.031111,-0.032656
8.000000,0.008000,3.683182,-10.006082,900.594270,-29.427418,-28.035931,1.993111,0.031130,-0.032676
9.000000,0.009000,3.896462,-10.001785,900.598226,-29.427079,-28.019642,1.953163,0.031112,-0.032675
10.000000,0.010000,3.900642,-10.214757,899.867489,-29.273923,-28.020948,1.923397,0.031139,-0.032531
11.000000,0.011000,3.897153,-10.000239,900.596567,-29.149941,-28.019555,1.952969,0.031112,-0.032367
12.000000,0.012000,3.900759,-10.214082,900.593858,-29.135025,-28.019883,1.923454,0.031113,-0.032351
13.000000,0.013000,3.898021,-9.999267,900.232749,-29.081090,-28.068693,1.952768,0.031179,-0.032304
14.000000,0.014000,3.898021,-9.999267,900.232749,-29.081090,-28.068693,1.952768,0.031179,-0.032304
15.000000,0.015000,4.111078,-9.994502,900.227979,-28.943506,-28.053367,1.993115,0.031163,-0.032151
16.000000,0.016000,4.105881,-9.780606,900.588042,-29.029697,-28.102589,1.963533,0.031205,-0.032234
17.000000,0.017000,4.105902,-9.780192,900.588185,-28.890658,-28.005394,1.963274,0.031097,-0.032080
18.000000,0.018000,4.112261,-9.993015,900.228514,-28.805006,-28.053472,1.992705,0.031163,-0.031997
19.000000,0.019000,3.889417,-9.569923,900.591667,-28.766420,-28.117309,1.952725,0.031221,-0.031942
20.000000,0.020000,3.889417,-9.569923,900.591667,-28.766420,-28.117309,1.952725,0.031221,-0.031942
21.000000,0.021000,4.102966,-9.565217,900.589091,-28.767475,-28.102174,1.992855,0.031204,-0.031943
22.000000,0.022000,4.103342,-9.564186,900.223079,-28.559986,-28.151120,1.992871,0.031271,-0.031725
23.000000,0.023000,4.106949,-9.778029,900.220371,-28.545069,-28.151449,1.963355,0.031272,-0.031709
24.000000,0.024000,4.103362,-9.563772,900.223222,-28.420946,-28.053926,1.992612,0.031163,-0.031571
25.000000,0.025000,4.104033,-9.562640,900.221420,-28.282847,-28.151034,1.992677,0.031271,-0.031418
26.000000,0.026000,4.098273,-9.349254,900.223804,-28.298255,-28.150940,1.882967,0.031271,-0.031435
27.000000,0.027000,4.311528,-9.344650,899.857019,-28.229920,-28.087645,1.923048,0.031213,-0.031372
28.000000,0.028000,4.311330,-9.344490,900.219035,-28.160671,-28.135614,1.923314,0.031254,-0.031282
29.000000,0.029000,4.089821,-8.920176,899.849822,-28.123876,-28.201774,1.962945,0.031341,-0.031254
30.000000,0.030000,3.875780,-8.924823,899.850204,-27.984183,-28.216718,1.923032,0.031357,-0.031099
31.000000,0.031000,3.875780,-8.924823,899.850204,-27.984183,-28.216718,1.923032,0.031357,-0.031099
32.000000,0.032000,3.870603,-8.710513,900.210410,-27.931335,-28.168745,1.893191,0.031291,-0.031028
33.000000,0.033000,3.867570,-8.495798,899.485090,-27.808011,-28.169395,1.922456,0.031317,-0.030915
34.000000,0.034000,3.867570,-8.495798,899.485090,-27.808011,-28.169395,1.922456,0.031317,-0.030915
35.000000,0.035000,3.861902,-8.281430,899.843102,-27.616524,-28.121231,1.892832,0.031251,-0.030690
36.000000,0.036000,4.077889,-8.276219,899.119211,-27.616492,-28.202878,1.992117,0.031367,-0.030715
37.000000,0.037000,3.858869,-8.066716,899.117783,-27.493200,-28.121880,1.922096,0.031277,-0.030578
38.000000,0.038000,3.858869,-8.066716,899.117783,-27.493200,-28.121880,1.922096,0.031277,-0.030578
39.000000,0.039000,3.858692,-8.066142,899.479942,-27.284912,-28.072655,1.922104,0.031210,-0.030334
40.000000,0.040000,3.858377,-8.066657,899.115589,-27.354561,-28.121688,1.922313,0.031277,-0.030424
41.000000,0.041000,3.854888,-7.852139,899.844666,-27.230579,-28.120296,1.951886,0.031250,-0.030261
42.000000,0.042000,3.635847,-7.643050,899.843094,-27.246325,-28.136492,1.882124,0.031268,-0.030279
43.000000,0.043000,3.423141,-7.646475,899.111111,-27.108424,-28.153759,1.921822,0.031313,-0.030150
44.000000,0.044000,3.423141,-7.646475,899.111111,-27.108424,-28.153759,1.921822,0.031313,-0.030150
45.000000,0.045000,3.423141,-7.646475,899.111111,-27.108424,-28.153759,1.921822,0.031313,-0.030150
46.000000,0.046000,3.209298,-7.651282,898.749476,-27.037980,-28.120733,1.881642,0.031289,-0.030084
47.000000,0.047000,3.209298,-7.651282,898.749476,-27.037980,-28.120733,1.881642,0.031289,-0.030084
