Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-3.064092,7.780279,885.025845,8.090296,-14.489178,1.273015,0.016371,0.009141
1.000000,0.001000,-2.851127,7.784060,884.665447,8.020985,-14.521922,1.233276,0.016415,0.009067
2.000000,0.002000,-2.851127,7.784060,884.665447,8.020985,-14.521922,1.233276,0.016415,0.009067
3.000000,0.003000,-3.277641,7.775573,885.028420,8.091351,-14.504312,1.232885,0.016389,0.009142
4.000000,0.004000,-3.073190,8.207917,885.024406,8.058579,-14.489910,1.272899,0.016372,0.009105
5.000000,0.005000,-2.850715,7.784836,885.756026,8.090494,-14.569018,1.233383,0.016448,0.009134
6.000000,0.006000,-2.851029,7.784321,885.391673,8.020845,-14.618051,1.233592,0.016510,0.009059
7.000000,0.007000,-3.064578,7.779615,885.394249,8.021899,-14.633186,1.193462,0.016527,0.009060
8.000000,0.008000,-3.068185,7.993458,885.396958,8.006983,-14.632858,1.222977,0.016527,0.009043
9.000000,0.009000,-2.856226,7.998218,885.751736,7.934654,-14.667273,1.204009,0.016559,0.008958
10.000000,0.010000,-2.849867,7.785395,885.392066,8.020306,-14.715350,1.233440,0.016620,0.009058
11.000000,0.011000,-2.849984,7.784720,884.665697,7.881407,-14.716415,1.233383,0.016635,0.008909
12.000000,0.012000,-2.851050,7.783907,885.391530,7.881806,-14.715245,1.233850,0.016620,0.008902
13.000000,0.013000,-2.860148,8.211545,885.390092,7.850088,-14.715978,1.233734,0.016621,0.008866
14.000000,0.014000,-3.073697,8.206840,885.392667,7.851143,-14.731113,1.193604,0.016638,0.008867
15.000000,0.015000,-3.073402,8.206941,885.756877,7.781754,-14.779274,1.193653,0.016685,0.008785
16.000000,0.016000,-3.073402,8.206941,885.756877,7.781754,-14.779274,1.193653,0.016685,0.008785
17.000000,0.017000,-3.077009,8.420784,885.759586,7.766837,-14.778945,1.223169,0.016685,0.008769
18.000000,0.018000,-2.863460,8.425490,885.757010,7.765783,-14.763811,1.263299,0.016668,0.008767
19.000000,0.019000,-2.858283,8.211180,885.396805,7.712934,-14.811783,1.293140,0.016729,0.008711
20.000000,0.020000,-2.859873,8.211233,885.754159,7.641660,-14.861333,1.234042,0.016778,0.008627
21.000000,0.021000,-2.854382,7.997438,885.758306,7.658461,-14.860272,1.263674,0.016777,0.008646
