Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.299696,25.958410,917.463222,53.310876,-81.689694,4.167521,0.089039,0.058107
1.000000,0.001000,-0.284200,25.314522,915.658156,52.456993,-81.836831,4.196971,0.089375,0.057289
2.000000,0.002000,-0.056680,24.675912,914.578896,51.740863,-81.871001,4.126907,0.089518,0.056573
3.000000,0.003000,0.383206,24.040521,913.496525,50.885178,-81.889932,4.097384,0.089644,0.055704
4.000000,0.004000,0.605937,23.614267,912.419439,50.015632,-81.923669,4.057246,0.089787,0.054816
5.000000,0.005000,1.042790,23.193589,910.611749,49.283271,-81.943249,4.056988,0.089987,0.054121
6.000000,0.006000,1.269879,22.553789,908.441766,48.358593,-82.027517,3.987076,0.090295,0.053232
7.000000,0.007000,1.493792,22.129023,907.365215,47.627547,-82.061359,3.946528,0.090439,0.052490
8.000000,0.008000,1.939170,21.279836,906.286991,46.788663,-82.079228,3.946637,0.090566,0.051627
9.000000,0.009000,2.156963,21.067834,904.477587,45.901517,-82.212198,3.876875,0.090895,0.050749
10.000000,0.010000,2.598229,20.433770,903.033735,45.115083,-82.183264,3.846675,0.091008,0.049959
11.000000,0.011000,3.034194,20.011707,901.589720,44.174833,-82.250900,3.846876,0.091229,0.048997
12.000000,0.012000,3.257498,19.586324,899.784605,43.443526,-82.285614,3.806488,0.091450,0.048282
13.000000,0.013000,3.698568,18.952420,898.702769,42.726342,-82.304650,3.776554,0.091582,0.047542
14.000000,0.014000,3.922364,18.526978,896.899849,41.856397,-82.339556,3.735949,0.091805,0.046668
15.000000,0.015000,4.362545,17.891688,896.181688,40.931323,-82.406647,3.706475,0.091953,0.045673
16.000000,0.016000,4.798006,17.470904,894.369336,40.058438,-82.427808,3.646852,0.092163,0.044790
17.000000,0.017000,5.021290,17.045107,892.564078,39.188093,-82.559716,3.606722,0.092497,0.043905
18.000000,0.018000,5.245204,16.620341,891.487527,38.457047,-82.593558,3.566174,0.092647,0.043138
19.000000,0.019000,5.686470,15.986277,890.043675,37.670613,-82.564625,3.535974,0.092765,0.042324
20.000000,0.020000,6.122947,15.564568,888.601997,36.730763,-82.535258,3.535700,0.092882,0.041335
21.000000,0.021000,6.350153,14.925444,887.158384,35.944984,-82.618461,3.465845,0.093127,0.040517
22.000000,0.022000,6.571197,14.498981,885.712425,35.004303,-82.605619,3.366294,0.093265,0.039521
23.000000,0.023000,6.795674,14.074726,884.993552,34.202474,-82.688776,3.405873,0.093434,0.038647
24.000000,0.024000,7.023077,13.435441,883.187923,33.347446,-82.724010,3.335752,0.093665,0.037758
25.000000,0.025000,7.246064,13.010818,881.738163,32.405234,-82.712619,3.315652,0.093806,0.036752
26.000000,0.026000,7.687626,12.376855,880.658521,31.549410,-82.731846,3.285501,0.093943,0.035825
27.000000,0.027000,8.132479,11.528535,879.211818,30.638854,-82.800434,3.226044,0.094176,0.034848
28.000000,0.028000,8.138982,11.314181,877.765539,29.820880,-82.900957,3.195394,0.094445,0.033974
29.000000,0.029000,8.580543,10.680219,876.685897,28.965057,-82.920184,3.165243,0.094584,0.033039
30.000000,0.030000,8.807539,10.042475,875.238157,28.177254,-83.005073,3.035613,0.094837,0.032194
31.000000,0.031000,9.035821,9.404217,874.154560,27.321092,-83.040590,3.045411,0.094995,0.031254
32.000000,0.032000,9.258854,8.979699,873.075684,26.449923,-82.979010,2.945023,0.095042,0.030295
33.000000,0.033000,9.483626,8.555545,872.721021,25.578704,-83.110328,2.984652,0.095231,0.029309
34.000000,0.034000,9.492867,8.126376,871.635852,24.706795,-83.162040,2.924687,0.095409,0.028345
35.000000,0.035000,9.507599,7.483412,870.554830,23.851688,-83.212692,2.894355,0.095586,0.027398
36.000000,0.036000,9.943984,7.063759,869.835394,23.048713,-83.183946,2.834363,0.095632,0.026498
37.000000,0.037000,9.958716,6.420795,868.754372,22.193606,-83.234597,2.804031,0.095809,0.025546
38.000000,0.038000,9.968252,5.991727,868.033413,21.252308,-83.334470,2.744116,0.096004,0.024483
39.000000,0.039000,10.191042,5.567264,866.945668,20.379345,-83.371048,2.724281,0.096166,0.023507
40.000000,0.040000,10.206957,4.925788,865.865181,19.662738,-83.421804,2.693538,0.096345,0.022709
41.000000,0.041000,10.216199,4.496618,864.780012,18.790829,-83.473516,2.633574,0.096526,0.021729
42.000000,0.042000,10.445089,3.858977,864.424978,17.934927,-83.508160,2.643212,0.096605,0.020748
43.000000,0.043000,10.454133,3.429967,863.701825,17.132268,-83.607841,2.583514,0.096802,0.019836
44.000000,0.044000,10.678035,3.006422,862.259131,16.329949,-83.595400,2.482924,0.096949,0.018939
45.000000,0.045000,10.689526,2.577972,861.900512,15.458392,-83.743007,2.562501,0.097161,0.017935
46.000000,0.046000,10.917905,1.939975,861.543141,14.602089,-83.874654,2.572615,0.097354,0.016949
47.000000,0.047000,10.932084,1.296554,861.190290,13.747781,-83.827133,2.542274,0.097339,0.015964
48.000000,0.048000,11.161061,0.659119,860.475632,12.961723,-84.006763,2.472108,0.097628,0.015063
49.000000,0.049000,11.383852,0.234656,859.387887,12.088760,-84.043341,2.452274,0.097794,0.014067
50.000000,0.050000,11.398878,-0.408207,858.671075,11.164263,-84.142153,2.421991,0.097991,0.013002
51.000000,0.051000,11.412138,-1.050442,858.673776,10.376779,-84.241289,2.332617,0.098106,0.012085
52.000000,0.052000,11.636930,-1.474182,858.319257,9.644600,-84.275413,2.371988,0.098187,0.011237
53.000000,0.053000,11.647137,-1.902118,857.596496,8.841401,-84.472394,2.312138,0.098499,0.010310
54.000000,0.054000,11.880503,-2.752630,856.874935,8.069266,-84.556504,2.292059,0.098680,0.009417
55.000000,0.055000,11.895332,-3.395333,856.520139,7.214018,-84.703285,2.262042,0.098892,0.008422
56.000000,0.056000,12.337503,-4.028678,856.169060,6.358455,-84.721640,2.231732,0.098954,0.007427
57.000000,0.057000,12.346644,-4.457426,856.172133,5.555655,-84.917451,2.172350,0.099183,0.006489
58.000000,0.058000,12.362342,-5.099156,855.453519,4.769258,-85.113370,2.142132,0.099495,0.005575
59.000000,0.059000,12.798509,-5.519062,855.095956,3.896493,-85.229788,2.082665,0.099673,0.004557
60.000000,0.060000,12.813850,-6.161410,854.743497,3.041646,-85.279567,2.052173,0.099772,0.003559
61.000000,0.061000,13.037901,-6.584538,854.382371,2.168003,-85.509573,2.032502,0.100083,0.002538
62.000000,0.062000,13.269932,-7.436272,854.393175,1.397660,-85.591359,1.932813,0.100178,0.001636
63.000000,0.063000,13.499117,-8.073812,854.402351,0.472368,-85.674164,1.942500,0.100274,0.000553
64.000000,0.064000,13.509324,-8.501748,853.679590,-0.330830,-85.871144,1.882650,0.100589,-0.000388
65.000000,0.065000,13.738570,-9.138772,852.958400,-1.118282,-86.051929,1.892562,0.100886,-0.001311
66.000000,0.066000,14.185313,-9.984727,852.967021,-1.890219,-86.215880,1.832851,0.101078,-0.002216
67.000000,0.067000,14.408226,-10.409237,852.976243,-2.831319,-86.395593,1.733303,0.101287,-0.003319
68.000000,0.068000,14.631428,-10.832924,852.979078,-3.634773,-86.479267,1.713576,0.101385,-0.004261
69.000000,0.069000,14.864110,-11.683940,852.987937,-4.406056,-86.755355,1.614209,0.101708,-0.005165
70.000000,0.070000,14.665974,-12.330423,852.993539,-5.191993,-86.869392,1.623932,0.101841,-0.006087
71.000000,0.071000,15.105846,-12.963911,853.359493,-6.049982,-87.082268,1.535265,0.102046,-0.007090
72.000000,0.072000,15.120990,-13.606098,853.369050,-6.835580,-87.180016,1.505040,0.102160,-0.008010
73.000000,0.073000,15.349511,-14.243728,854.108789,-7.620980,-87.357604,1.435181,0.102279,-0.008923
74.000000,0.074000,15.362751,-14.886377,854.111347,-8.547502,-87.553935,1.346067,0.102509,-0.010007
75.000000,0.075000,15.587057,-15.310781,854.125232,-9.348079,-87.732067,1.305884,0.102716,-0.010945
76.000000,0.076000,15.392625,-16.170846,854.854351,-10.119240,-87.942562,1.286406,0.102874,-0.011837
77.000000,0.077000,15.616229,-16.593810,854.861914,-10.783201,-88.122189,1.186665,0.103084,-0.012614
78.000000,0.078000,15.635274,-17.449739,855.232973,-11.623273,-88.268426,1.126973,0.103210,-0.013591
79.000000,0.079000,15.644730,-17.877972,855.600399,-12.356423,-88.415204,1.067382,0.103337,-0.014442
80.000000,0.080000,15.663461,-18.734416,855.607105,-13.266145,-88.610474,1.007899,0.103564,-0.015505
81.000000,0.081000,15.882590,-18.944509,855.981195,-14.013872,-88.740634,0.937875,0.103671,-0.016372
