Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-3.065900,-61.691060,893.967223,-97.704894,-62.498254,-1.853425,0.069911,-0.109294
1.000000,0.001000,-5.191377,-62.165436,898.689250,-96.899841,-62.497916,-1.594118,0.069543,-0.107824
2.000000,0.002000,-6.688090,-61.984119,903.056259,-96.211586,-62.499599,-1.345596,0.069209,-0.106540
3.000000,0.003000,-7.954388,-62.652963,906.688543,-95.463636,-62.584243,-1.115851,0.069025,-0.105288
4.000000,0.004000,-9.228755,-62.894181,910.694661,-94.953637,-62.619815,-0.966944,0.068760,-0.104265
5.000000,0.005000,-10.504945,-63.134931,913.963558,-94.307683,-62.754756,-0.876960,0.068662,-0.103185
6.000000,0.006000,-10.725658,-62.711661,916.152447,-93.918142,-62.861358,-0.797636,0.068615,-0.102514
7.000000,0.007000,-10.727098,-62.711740,917.602456,-93.640207,-62.858933,-0.796894,0.068503,-0.102049
8.000000,0.008000,-10.514608,-62.706804,919.054476,-93.362872,-63.034520,-0.835777,0.068586,-0.101586
9.000000,0.009000,-10.933678,-63.141535,923.773999,-92.705685,-63.591036,-0.913367,0.068838,-0.100355
10.000000,0.010000,-12.803642,-65.742598,935.748259,-91.196006,-65.021021,-1.086906,0.069486,-0.097458
11.000000,0.011000,-13.374442,-69.177492,941.210313,-90.453392,-65.779416,-1.282688,0.069888,-0.096103
12.000000,0.012000,-12.707587,-70.875788,946.669922,-89.702230,-66.349979,-1.896327,0.070088,-0.094756
13.000000,0.013000,-8.661194,-71.006423,948.138812,-89.417432,-66.533244,-2.818576,0.070172,-0.094308
14.000000,0.014000,-4.197665,-70.269990,948.515134,-89.265950,-66.543199,-3.244329,0.070155,-0.094111
15.000000,0.015000,-1.235569,-68.919538,948.872818,-89.023627,-66.763598,-3.302460,0.070361,-0.093820
16.000000,0.016000,-2.554830,-66.802902,950.662415,-88.697263,-67.103621,-2.864684,0.070586,-0.093300
17.000000,0.017000,-3.434223,-65.318408,953.911379,-87.906068,-67.600956,-2.475774,0.070867,-0.092153
18.000000,0.018000,-3.666046,-64.464371,958.982106,-86.859031,-68.094693,-2.373915,0.071007,-0.090574
19.000000,0.019000,-1.526552,-65.060930,966.257853,-85.702652,-68.795250,-2.856898,0.071198,-0.088695
20.000000,0.020000,2.329957,-66.264756,973.186235,-84.569858,-69.416664,-3.667727,0.071329,-0.086900
21.000000,0.021000,6.834448,-67.880616,979.746591,-83.340781,-70.041846,-4.637330,0.071490,-0.085064
22.000000,0.022000,11.550442,-69.275541,984.116048,-82.271188,-70.754810,-5.517501,0.071897,-0.083599
23.000000,0.023000,16.470329,-70.022566,987.396686,-81.458161,-71.213585,-6.249966,0.072123,-0.082498
24.000000,0.024000,21.148640,-69.491953,988.850053,-80.671355,-71.547430,-6.943038,0.072354,-0.081581
25.000000,0.025000,25.394502,-68.543698,990.307192,-80.190365,-71.621745,-7.358562,0.072323,-0.080975
26.000000,0.026000,28.129599,-66.771885,990.305567,-79.630197,-71.614246,-7.676182,0.072315,-0.080410
27.000000,0.027000,29.803530,-65.236977,990.660985,-78.982256,-71.732263,-7.784467,0.072408,-0.079727
28.000000,0.028000,31.052419,-63.711285,990.295653,-78.331574,-71.784185,-7.834101,0.072488,-0.079099
29.000000,0.029000,33.371082,-62.377848,991.024373,-77.736059,-71.804289,-7.952318,0.072455,-0.078440
30.000000,0.030000,35.694269,-61.255544,990.290057,-76.990210,-71.925556,-8.160069,0.072631,-0.077745
31.000000,0.031000,43.518995,-57.871023,986.266586,-75.242168,-72.086167,-8.623875,0.073090,-0.076290
32.000000,0.032000,46.658050,-54.803044,982.979497,-74.156419,-72.006112,-8.723411,0.073253,-0.075440
33.000000,0.033000,46.841436,-53.298851,980.786842,-73.575545,-71.995397,-8.654432,0.073406,-0.075017
34.000000,0.034000,47.019767,-51.581936,979.318143,-73.009641,-71.790037,-8.475715,0.073306,-0.074552
35.000000,0.035000,46.995095,-50.296244,977.132211,-72.410911,-71.793396,-8.417235,0.073474,-0.074106
36.000000,0.036000,46.968976,-49.011673,975.667526,-71.812236,-71.602438,-8.278532,0.073388,-0.073603
37.000000,0.037000,46.299694,-47.526100,973.472043,-71.228899,-71.557038,-8.070539,0.073507,-0.073170
38.000000,0.038000,46.066278,-46.459679,972.009744,-70.752400,-71.381500,-7.862473,0.073437,-0.072790
39.000000,0.039000,45.397920,-44.972974,970.907178,-70.099154,-71.286193,-7.654849,0.073422,-0.072200
40.000000,0.040000,44.523034,-43.920765,969.801167,-69.552490,-71.109039,-7.406598,0.073323,-0.071718
41.000000,0.041000,43.651216,-42.867020,968.702547,-68.865441,-70.930601,-7.099610,0.073222,-0.071090
42.000000,0.042000,42.350822,-41.824276,967.244333,-68.245393,-70.734167,-6.872521,0.073130,-0.070557
43.000000,0.043000,40.835578,-40.785360,966.139661,-67.557920,-70.506378,-6.664841,0.072977,-0.069926
44.000000,0.044000,39.749048,-39.737395,965.043225,-66.869278,-70.245776,-6.397831,0.072790,-0.069291
45.000000,0.045000,38.453139,-38.907468,964.304334,-66.235447,-70.049952,-6.120339,0.072643,-0.068687
46.000000,0.046000,37.162238,-38.292681,962.123527,-65.722181,-69.756847,-5.893667,0.072503,-0.068310
47.000000,0.047000,35.869524,-37.677373,960.291349,-65.142943,-69.514255,-5.645797,0.072389,-0.067837
48.000000,0.048000,34.365952,-37.066266,958.835150,-64.629755,-69.236566,-5.379336,0.072209,-0.067404
49.000000,0.049000,33.069874,-36.237170,957.014549,-64.063640,-68.895489,-5.182505,0.071990,-0.066941
50.000000,0.050000,31.564417,-35.626111,955.551493,-63.552337,-68.619190,-4.975192,0.071811,-0.066509
