Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,8.803472,-62.248462,884.910080,-73.704206,-88.768904,-8.055512,0.100314,-0.083290
1.000000,0.001000,8.806293,-62.462348,884.540967,-73.481262,-88.720880,-8.084860,0.100302,-0.083073
2.000000,0.002000,9.022196,-62.671778,884.537826,-73.188730,-88.704536,-8.153890,0.100283,-0.082742
3.000000,0.003000,9.021212,-62.671661,884.533438,-72.911453,-88.704153,-8.153456,0.100284,-0.082429
4.000000,0.004000,9.233823,-62.666732,884.897359,-72.564187,-88.638447,-8.193179,0.100168,-0.082003
5.000000,0.005000,9.451807,-62.876274,884.539058,-72.339020,-88.572744,-8.203328,0.100134,-0.081782
6.000000,0.006000,9.451118,-62.876056,884.898880,-72.131132,-88.620522,-8.202845,0.100148,-0.081513
7.000000,0.007000,9.454056,-63.089266,885.256136,-71.769289,-88.571433,-8.232135,0.100052,-0.081072
8.000000,0.008000,9.666155,-63.084693,885.617720,-71.422425,-88.602730,-8.271383,0.100046,-0.080647
9.000000,0.009000,9.667252,-63.084688,885.258172,-71.212512,-88.552988,-8.212068,0.100031,-0.080443
10.000000,0.010000,9.669993,-63.297739,885.977444,-70.781420,-88.551869,-8.241092,0.099948,-0.079891
11.000000,0.011000,9.451827,-63.088176,885.607599,-70.450008,-88.519286,-8.171244,0.099953,-0.079550
12.000000,0.012000,9.447060,-62.873642,885.968078,-69.979359,-88.469350,-8.141286,0.099856,-0.078986
13.000000,0.013000,9.238028,-63.091972,887.056263,-69.754210,-88.434184,-8.071230,0.099694,-0.078636
14.000000,0.014000,9.023272,-63.096093,887.045725,-69.338634,-88.449899,-8.030631,0.099713,-0.078168
15.000000,0.015000,8.597364,-63.104516,887.046956,-68.919717,-88.382356,-7.971490,0.099637,-0.077696
16.000000,0.016000,8.592378,-62.890236,887.769308,-68.518858,-88.477583,-7.941007,0.099663,-0.077181
17.000000,0.017000,8.378953,-62.894765,888.493798,-68.100597,-88.393737,-7.841268,0.099487,-0.076647
18.000000,0.018000,7.952553,-62.903130,888.492834,-67.543042,-88.326003,-7.781910,0.099411,-0.076020
19.000000,0.019000,7.739494,-62.906988,889.937018,-67.126315,-88.339441,-7.601777,0.099265,-0.075428
20.000000,0.020000,7.307700,-62.701296,890.658134,-66.585701,-88.368898,-7.571735,0.099218,-0.074760
21.000000,0.021000,6.878256,-62.495306,891.017558,-66.113845,-88.350151,-7.402733,0.099156,-0.074200
22.000000,0.022000,6.237510,-62.508779,891.738473,-65.556230,-88.297537,-7.302959,0.099017,-0.073515
23.000000,0.023000,6.015343,-62.085054,892.095368,-65.101236,-88.360564,-7.203062,0.099048,-0.072976
24.000000,0.024000,5.584834,-61.879876,893.180626,-64.628982,-88.340648,-7.033593,0.098906,-0.072358
25.000000,0.025000,5.155016,-61.673153,894.264225,-63.879588,-88.320645,-6.864317,0.098763,-0.071433
26.000000,0.026000,4.505726,-61.258531,894.255530,-63.354489,-88.366936,-6.764651,0.098816,-0.070846
27.000000,0.027000,4.288873,-61.048026,894.978732,-62.674407,-88.379677,-6.635114,0.098751,-0.070029
28.000000,0.028000,3.849937,-60.414078,896.060749,-62.095770,-88.457601,-6.465696,0.098718,-0.069299
29.000000,0.029000,3.627593,-59.989779,896.779804,-61.432488,-88.471403,-6.365791,0.098655,-0.068503
30.000000,0.030000,3.187493,-59.356905,897.861429,-60.853312,-88.452028,-6.196221,0.098514,-0.067776
31.000000,0.031000,2.538321,-58.941608,898.579103,-60.189315,-88.497254,-6.096498,0.098486,-0.066983
32.000000,0.032000,2.306681,-58.089510,899.658735,-59.488501,-88.559758,-5.996443,0.098437,-0.066123
33.000000,0.033000,2.084337,-57.665211,900.377789,-58.825220,-88.573560,-5.896538,0.098374,-0.065334
34.000000,0.034000,2.071738,-57.022203,901.458993,-58.108660,-88.619868,-5.726721,0.098307,-0.064461
35.000000,0.035000,1.626550,-56.174811,902.541200,-57.406792,-88.697507,-5.666796,0.098275,-0.063606
36.000000,0.036000,1.403911,-55.750613,902.896045,-56.674121,-88.663148,-5.566941,0.098199,-0.062769
37.000000,0.037000,1.604907,-55.102794,904.345557,-55.887573,-88.644134,-5.437281,0.098020,-0.061799
38.000000,0.038000,1.372873,-54.250377,906.149220,-55.048261,-88.802576,-5.336694,0.098000,-0.060750
39.000000,0.039000,1.357826,-53.607928,906.865889,-54.262803,-88.800958,-5.306152,0.097921,-0.059836
40.000000,0.040000,1.131992,-52.969110,908.314021,-53.475539,-88.813367,-5.176674,0.097778,-0.058873
41.000000,0.041000,1.326888,-52.108112,909.030823,-52.706052,-88.796286,-5.076487,0.097682,-0.057980
42.000000,0.042000,1.313213,-51.465971,909.752011,-51.919110,-88.890282,-4.986322,0.097708,-0.057070
43.000000,0.043000,1.508225,-50.604298,911.195181,-51.010724,-88.872136,-4.886077,0.097534,-0.055982
44.000000,0.044000,1.489669,-49.747744,912.640785,-50.240323,-88.966320,-4.825704,0.097482,-0.055049
45.000000,0.045000,1.682188,-48.886736,913.348537,-49.334083,-88.950436,-4.784447,0.097389,-0.054015
46.000000,0.046000,1.670011,-48.242591,914.434612,-48.338991,-88.995503,-4.694902,0.097323,-0.052862
47.000000,0.047000,1.647822,-47.171887,915.512183,-47.515510,-89.042353,-4.524985,0.097260,-0.051900
48.000000,0.048000,1.837074,-46.096828,916.957738,-46.622532,-89.024114,-4.534450,0.097086,-0.050845
49.000000,0.049000,2.037263,-45.449466,918.040703,-45.766994,-89.053941,-4.404364,0.097004,-0.049853
50.000000,0.050000,2.233027,-44.587495,918.393686,-44.928657,-89.085998,-4.304378,0.097002,-0.048921
51.000000,0.051000,2.219687,-43.944425,919.479370,-43.933026,-89.033766,-4.214681,0.096831,-0.047780
52.000000,0.052000,2.405601,-42.655114,920.921102,-43.056357,-89.016353,-4.114553,0.096660,-0.046754
53.000000,0.053000,2.599690,-41.794573,921.271357,-42.217882,-89.048114,-4.013939,0.096658,-0.045826
54.000000,0.054000,2.786158,-40.504805,921.984918,-41.342012,-89.128873,-3.913803,0.096671,-0.044840
55.000000,0.055000,2.985549,-39.856264,922.335336,-40.349719,-89.064065,-3.843591,0.096564,-0.043747
56.000000,0.056000,3.176076,-38.781774,923.059184,-39.455116,-89.045309,-3.793750,0.096468,-0.042744
57.000000,0.057000,3.370991,-37.920363,923.776129,-38.546590,-88.931034,-3.693821,0.096269,-0.041727
58.000000,0.058000,3.560772,-36.844539,924.122771,-37.586415,-88.963961,-3.623250,0.096269,-0.040673
59.000000,0.059000,3.544576,-35.987328,924.120976,-36.675749,-88.961603,-3.504296,0.096266,-0.039687
60.000000,0.060000,3.737095,-35.126320,924.828728,-35.769508,-88.945719,-3.463039,0.096175,-0.038677
61.000000,0.061000,3.923512,-33.836707,925.186948,-34.822455,-88.880161,-3.443506,0.096067,-0.037638
62.000000,0.062000,4.118133,-32.975397,925.539682,-33.844539,-88.717725,-3.343626,0.095855,-0.036567
63.000000,0.063000,4.526882,-32.109232,925.532412,-32.936474,-88.685332,-3.283638,0.095821,-0.035587
64.000000,0.064000,4.721797,-31.247821,926.249357,-32.027947,-88.571057,-3.183709,0.095623,-0.034578
65.000000,0.065000,4.703717,-30.390658,926.240706,-31.119166,-88.570089,-3.123903,0.095623,-0.033597
66.000000,0.066000,4.898317,-29.529762,926.593298,-30.280289,-88.504847,-3.023765,0.095516,-0.032679
67.000000,0.067000,4.879272,-28.673833,926.222239,-29.440217,-88.358610,-2.964073,0.095397,-0.031785
68.000000,0.068000,5.069564,-27.597654,926.571219,-28.479642,-88.294534,-2.893977,0.095292,-0.030737
69.000000,0.069000,5.261939,-26.521587,926.565038,-27.586430,-88.181100,-2.765000,0.095170,-0.029773
70.000000,0.070000,5.242696,-25.665498,926.555995,-26.677110,-88.082833,-2.705042,0.095065,-0.028792
71.000000,0.071000,5.438362,-24.803789,926.182753,-25.838632,-88.018760,-2.605372,0.095034,-0.027898
72.000000,0.072000,5.416024,-23.733502,926.178756,-24.943826,-87.823162,-2.516373,0.094823,-0.026932
73.000000,0.073000,5.392651,-22.662704,925.803942,-24.121095,-87.775285,-2.486465,0.094810,-0.026054
74.000000,0.074000,5.582272,-21.587657,926.154724,-23.298619,-87.614102,-2.416434,0.094600,-0.025156
75.000000,0.075000,5.568168,-20.944349,925.048591,-22.445423,-87.470517,-2.306647,0.094558,-0.024264
76.000000,0.076000,5.551814,-20.087915,925.050935,-21.672455,-87.274050,-2.188234,0.094345,-0.023428
77.000000,0.077000,5.533931,-19.230912,924.680269,-20.832922,-87.225112,-2.128694,0.094330,-0.022530
78.000000,0.078000,5.516220,-18.373761,923.576845,-19.994643,-87.081199,-1.989391,0.094287,-0.021649
79.000000,0.079000,5.279210,-17.307877,923.564230,-19.240700,-86.903471,-1.919809,0.094096,-0.020833
80.000000,0.080000,5.473911,-16.447402,922.828580,-18.470932,-86.694130,-1.820253,0.093944,-0.020016
81.000000,0.081000,5.251372,-16.023625,922.095183,-17.807369,-86.515673,-1.720980,0.093825,-0.019312
82.000000,0.082000,5.228216,-14.952574,921.358496,-16.914847,-86.322633,-1.691597,0.093691,-0.018359
83.000000,0.083000,4.996580,-14.101159,920.623659,-16.283002,-86.144908,-1.592440,0.093572,-0.017687
84.000000,0.084000,5.192661,-13.239357,919.526528,-15.443983,-85.887704,-1.493561,0.093404,-0.016796
85.000000,0.085000,4.960827,-12.387782,919.153708,-14.742888,-85.757948,-1.394138,0.093301,-0.016040
