Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,19.404569,55.748779,863.556803,100.498630,-19.978288,2.177981,0.023135,0.116378
1.000000,0.001000,18.556514,55.300415,863.558761,100.255089,-19.846423,2.038377,0.022982,0.116095
2.000000,0.002000,17.062787,55.051978,863.195751,99.927267,-19.714210,1.828563,0.022839,0.115764
3.000000,0.003000,15.568862,54.803701,863.194758,99.668694,-19.629966,1.619016,0.022741,0.115465
4.000000,0.004000,14.291534,54.561252,863.198436,99.410413,-19.626497,1.508595,0.022737,0.115165
5.000000,0.005000,13.223839,54.321414,863.556109,99.080881,-19.462844,1.379509,0.022538,0.114736
6.000000,0.006000,12.584955,54.090888,864.648244,98.752378,-19.362508,1.310068,0.022394,0.114211
7.000000,0.007000,11.950998,53.646055,865.386848,98.511458,-19.211796,1.190132,0.022200,0.113835
8.000000,0.008000,10.885187,53.406265,865.751377,98.183811,-19.046754,1.120193,0.022000,0.113409
9.000000,0.009000,9.822497,52.951969,866.481601,97.802683,-19.026050,0.941186,0.021958,0.112873
10.000000,0.010000,8.969265,52.717915,866.843765,97.611990,-18.846213,0.771741,0.021741,0.112606
11.000000,0.011000,7.690200,52.473521,867.575080,97.216007,-18.744467,0.661722,0.021606,0.112055
12.000000,0.012000,6.831981,52.451982,868.301433,96.941147,-18.612166,0.522470,0.021435,0.111645
13.000000,0.013000,6.194737,52.223139,867.939706,96.750485,-18.513977,0.452311,0.021331,0.111471
14.000000,0.014000,5.129820,51.984014,868.311158,96.423692,-18.445080,0.302143,0.021242,0.111047
15.000000,0.015000,4.491509,51.754358,868.675265,96.233429,-18.345722,0.232451,0.021119,0.110782
16.000000,0.016000,3.853199,51.524703,869.039372,96.043165,-18.246363,0.162760,0.020996,0.110516
17.000000,0.017000,3.005500,51.076956,868.675175,95.868073,-18.260640,0.023431,0.021021,0.110361
18.000000,0.018000,2.367681,50.847242,869.041476,95.539171,-18.161473,-0.046477,0.020898,0.109936
19.000000,0.019000,1.721338,51.046037,868.678310,95.316792,-18.064016,-0.116753,0.020795,0.109726
20.000000,0.020000,1.083028,50.816381,869.042417,95.126528,-17.964658,-0.186444,0.020672,0.109461
21.000000,0.021000,0.444717,50.586726,869.406524,94.936265,-17.865300,-0.256136,0.020549,0.109197
22.000000,0.022000,-0.196037,50.571987,869.773732,94.730546,-17.862912,-0.296463,0.020537,0.108914
23.000000,0.023000,-0.407321,50.351173,869.777203,94.470318,-17.684160,-0.366239,0.020332,0.108614
24.000000,0.024000,-0.835689,50.340067,870.141443,94.264084,-17.569339,-0.366285,0.020191,0.108332
25.000000,0.025000,-1.260471,50.114703,870.502831,93.933726,-17.552039,-0.395588,0.020163,0.107907
26.000000,0.026000,-1.470186,49.893422,870.148805,93.605734,-17.420932,-0.406007,0.020021,0.107574
27.000000,0.027000,-1.470857,49.892290,870.150607,93.467634,-17.323824,-0.406072,0.019909,0.107415
28.000000,0.028000,-1.685381,49.885990,870.876481,93.190956,-17.242028,-0.365938,0.019798,0.107008
29.000000,0.029000,-1.687118,49.884045,871.604117,93.053255,-17.143752,-0.365536,0.019669,0.106761
30.000000,0.030000,-1.682318,49.668704,871.609924,92.792917,-17.142777,-0.335710,0.019668,0.106462
31.000000,0.031000,-1.683304,49.667056,871.247373,92.585168,-17.094703,-0.335566,0.019621,0.106267
32.000000,0.032000,-1.469724,49.669190,871.252920,92.309399,-16.980966,-0.235943,0.019490,0.105950
33.000000,0.033000,-1.251061,49.459070,871.620504,92.117656,-16.915824,-0.166197,0.019407,0.105686
34.000000,0.034000,-1.459541,49.239432,871.622354,91.856980,-16.931139,-0.096423,0.019425,0.105386
35.000000,0.035000,-1.252124,49.454229,871.625556,91.426310,-16.721356,-0.026497,0.019184,0.104892
36.000000,0.036000,-0.820118,49.248920,871.266730,91.372746,-16.737904,0.003525,0.019211,0.104873
37.000000,0.037000,-0.820540,49.247784,871.261858,91.094214,-16.739145,0.083797,0.019213,0.104554
38.000000,0.038000,-0.605681,49.251666,871.994166,90.956804,-16.721643,0.183326,0.019176,0.104309
39.000000,0.039000,-0.174651,49.044764,872.358639,90.625507,-16.641260,0.293612,0.019076,0.103886
40.000000,0.040000,0.256683,48.838323,872.001616,90.433843,-16.560701,0.323570,0.018992,0.103708
41.000000,0.041000,0.472981,48.625228,872.368129,89.965101,-16.495348,0.394137,0.018909,0.103127
42.000000,0.042000,0.692149,48.413828,873.104050,89.705992,-16.476680,0.523708,0.018871,0.102744
43.000000,0.043000,0.904138,48.416015,873.466951,89.358948,-16.412494,0.564233,0.018790,0.102304
44.000000,0.044000,1.554056,48.000289,874.565896,89.183690,-16.313697,0.664261,0.018653,0.101975
45.000000,0.045000,1.771222,47.788166,874.568592,88.783798,-16.297482,0.734626,0.018635,0.101517
46.000000,0.046000,1.989374,47.577690,874.933838,88.591654,-16.329342,0.804848,0.018664,0.101255
47.000000,0.047000,2.202674,47.579054,876.031624,88.108256,-16.262788,0.904771,0.018564,0.100577
48.000000,0.048000,2.419276,47.366420,875.676641,87.779146,-16.197259,0.895009,0.018497,0.100242
49.000000,0.049000,2.640166,46.941129,876.402997,87.533069,-16.180309,0.935917,0.018462,0.099878
50.000000,0.050000,3.076418,46.520022,876.778148,87.219966,-16.097711,0.995757,0.018360,0.099478
51.000000,0.051000,3.293128,46.307703,878.235241,86.820733,-16.079454,1.066431,0.018309,0.098858
52.000000,0.052000,3.296745,46.090874,878.240512,86.421895,-16.078375,1.096667,0.018307,0.098403
53.000000,0.053000,3.303771,45.660363,878.605091,86.107223,-16.125593,1.097654,0.018354,0.098004
54.000000,0.054000,3.740023,45.239256,878.980242,85.794120,-16.042995,1.157494,0.018252,0.097606
55.000000,0.055000,3.752184,44.594331,879.715123,85.427799,-15.943011,1.187838,0.018123,0.097108
56.000000,0.056000,3.764443,43.949669,881.176230,85.061337,-15.939157,1.218498,0.018089,0.096532
57.000000,0.057000,3.557249,43.513319,881.545186,84.609619,-15.904402,1.179290,0.018042,0.095979
58.000000,0.058000,3.777199,43.086486,882.279876,84.226836,-15.789190,1.140054,0.017896,0.095465
59.000000,0.059000,3.784717,42.655915,882.646648,83.773525,-15.836600,1.140823,0.017942,0.094912
60.000000,0.060000,3.582147,42.004798,883.383570,83.269758,-15.751646,1.131448,0.017831,0.094262
61.000000,0.061000,3.595176,41.360846,883.754633,82.972287,-15.700800,1.161591,0.017766,0.093886
62.000000,0.062000,3.381938,41.137833,884.847613,82.504568,-15.568935,1.092742,0.017595,0.093242
63.000000,0.063000,3.394653,40.493367,884.854323,82.137447,-15.567123,1.123095,0.017593,0.092826
64.000000,0.064000,3.181968,40.270811,885.219132,81.668929,-15.533429,1.054254,0.017548,0.092258
65.000000,0.065000,2.980875,39.621283,886.320798,81.234273,-15.496741,1.044518,0.017484,0.091653
66.000000,0.066000,2.564054,38.966899,887.053975,80.868176,-15.428416,0.935454,0.017393,0.091165
67.000000,0.067000,2.357469,38.531166,888.151494,80.416718,-15.392789,0.896086,0.017331,0.090544
68.000000,0.068000,2.363825,38.099522,888.517875,79.963946,-15.342899,0.897007,0.017268,0.089997
69.000000,0.069000,2.153024,37.877014,888.889540,79.497313,-15.307816,0.887314,0.017221,0.089434
70.000000,0.070000,2.159111,37.444960,889.262452,79.045934,-15.256772,0.808157,0.017157,0.088889
71.000000,0.071000,1.952014,37.008872,890.357634,78.594076,-15.318147,0.769265,0.017204,0.088272
72.000000,0.072000,1.745333,36.572877,890.728927,78.142760,-15.186390,0.729580,0.017049,0.087729
