Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-4.082399,-0.206774,890.750992,4.732590,-4.201086,0.596206,0.004716,0.005313
1.000000,0.001000,-3.867981,-0.201096,890.384599,4.800385,-4.235090,0.636134,0.004756,0.005391
2.000000,0.002000,-3.868850,-0.202068,890.748417,4.731535,-4.185951,0.636336,0.004699,0.005312
3.000000,0.003000,-4.078238,-0.420160,890.020113,4.746707,-4.299586,0.566698,0.004831,0.005333
4.000000,0.004000,-4.072747,-0.633955,890.024260,4.763508,-4.298525,0.596330,0.004830,0.005352
5.000000,0.005000,-4.076354,-0.420112,890.026969,4.748592,-4.298197,0.625845,0.004829,0.005335
6.000000,0.006000,-3.868808,-0.201966,890.017909,4.730335,-4.381125,0.636819,0.004923,0.005315
7.000000,0.007000,-3.863317,-0.415761,890.022056,4.747136,-4.380064,0.666451,0.004921,0.005334
8.000000,0.008000,-3.860579,-0.630576,890.383165,4.693202,-4.331254,0.637137,0.004864,0.005271
9.000000,0.009000,-4.073564,-0.634771,890.743420,4.623474,-4.395704,0.677135,0.004935,0.005191
10.000000,0.010000,-3.865516,-0.416324,889.650847,4.675602,-4.430487,0.607513,0.004980,0.005256
11.000000,0.011000,-3.864698,-0.417089,890.383537,4.677885,-4.427929,0.667128,0.004973,0.005254
12.000000,0.012000,-3.864698,-0.417089,890.383537,4.677885,-4.427929,0.667128,0.004973,0.005254
13.000000,0.013000,-3.863732,-0.415855,890.745945,4.746595,-4.573197,0.667243,0.005134,0.005329
14.000000,0.014000,-3.860440,-0.630213,890.378883,4.691862,-4.622558,0.637936,0.005192,0.005270
15.000000,0.015000,-3.860440,-0.630213,890.378883,4.691862,-4.622558,0.637936,0.005192,0.005270
16.000000,0.016000,-3.647160,-0.625917,890.382839,4.692201,-4.606269,0.597988,0.005173,0.005270
17.000000,0.017000,-3.650670,-0.411812,891.111774,4.677144,-4.702071,0.627819,0.005277,0.005249
18.000000,0.018000,-3.650984,-0.412328,890.747421,4.607494,-4.751104,0.628028,0.005334,0.005173
19.000000,0.019000,-3.647377,-0.626171,890.744712,4.622410,-4.751432,0.598513,0.005334,0.005189
20.000000,0.020000,-3.647692,-0.626686,890.380359,4.552761,-4.800466,0.598722,0.005391,0.005113
21.000000,0.021000,-3.651299,-0.412843,890.383068,4.537845,-4.800137,0.628238,0.005391,0.005097
22.000000,0.022000,-3.651496,-0.412683,890.745084,4.607094,-4.848106,0.628504,0.005443,0.005172
23.000000,0.023000,-3.651496,-0.412683,890.745084,4.607094,-4.848106,0.628504,0.005443,0.005172
24.000000,0.024000,-3.865091,-0.417494,890.376775,4.537105,-4.913429,0.668662,0.005518,0.005096
25.000000,0.025000,-3.652008,-0.413038,890.742747,4.606693,-4.945109,0.628980,0.005552,0.005172
26.000000,0.026000,-3.652008,-0.413038,890.742747,4.606693,-4.945109,0.628980,0.005552,0.005172
27.000000,0.027000,-3.643108,-0.840516,891.106201,4.707659,-4.992345,0.629362,0.005602,0.005283
28.000000,0.028000,-3.429676,-0.836485,890.377257,4.567706,-4.978275,0.669435,0.005591,0.005130
29.000000,0.029000,-3.652520,-0.413393,890.740410,4.606293,-5.042111,0.629455,0.005661,0.005171
30.000000,0.030000,-3.432317,-0.621409,890.742373,4.621500,-5.123215,0.699065,0.005752,0.005188
31.000000,0.031000,-3.432317,-0.621409,890.742373,4.621500,-5.123215,0.699065,0.005752,0.005188
32.000000,0.032000,-3.432317,-0.621409,890.742373,4.621500,-5.123215,0.699065,0.005752,0.005188
33.000000,0.033000,-3.432830,-0.621764,890.740036,4.621099,-5.220217,0.699541,0.005861,0.005188
34.000000,0.034000,-3.432830,-0.621764,890.740036,4.621099,-5.220217,0.699541,0.005861,0.005188
35.000000,0.035000,-3.429223,-0.835607,890.737328,4.636016,-5.220545,0.670025,0.005861,0.005205
36.000000,0.036000,-3.433342,-0.622119,890.737699,4.620699,-5.317220,0.700017,0.005969,0.005187
37.000000,0.037000,-3.220062,-0.617823,890.741655,4.621038,-5.300930,0.660068,0.005951,0.005188
38.000000,0.038000,-3.220062,-0.617823,890.741655,4.621038,-5.300930,0.660068,0.005951,0.005188
39.000000,0.039000,-3.220259,-0.617663,891.103671,4.690287,-5.348899,0.660335,0.006003,0.005263
40.000000,0.040000,-3.428887,-0.835403,890.371030,4.565426,-5.463880,0.670558,0.006137,0.005128
41.000000,0.041000,-3.219213,-0.617264,890.377694,4.550849,-5.447263,0.660126,0.006118,0.005111
42.000000,0.042000,-3.220594,-0.618592,890.739175,4.481598,-5.495127,0.660802,0.006169,0.005031
43.000000,0.043000,-3.220594,-0.618592,890.739175,4.481598,-5.495127,0.660802,0.006169,0.005031
44.000000,0.044000,-3.220238,-0.617974,890.373020,4.550048,-5.641268,0.661077,0.006336,0.005110
45.000000,0.045000,-3.220238,-0.617974,890.373020,4.550048,-5.641268,0.661077,0.006336,0.005110
46.000000,0.046000,-3.006689,-0.613269,890.370444,4.548993,-5.626133,0.701207,0.006319,0.005109
47.000000,0.047000,-3.001781,-0.827989,890.016770,4.497538,-5.672951,0.650970,0.006374,0.005053
48.000000,0.048000,-3.006404,-0.613221,889.648805,4.549588,-5.723150,0.621136,0.006433,0.005114
49.000000,0.049000,-2.793170,-0.609031,889.281876,4.478883,-5.757049,0.661476,0.006474,0.005037
50.000000,0.050000,-2.793072,-0.608769,890.008102,4.478743,-5.853178,0.661792,0.006577,0.005032
51.000000,0.051000,-2.787876,-0.822666,889.648039,4.564933,-5.803957,0.691374,0.006524,0.005131
