Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,7.143347,-42.317360,911.035718,-105.843816,-28.497488,-1.709702,0.031280,-0.116180
1.000000,0.001000,7.557274,-41.666718,911.400384,-105.821916,-28.514437,-1.679854,0.031286,-0.116109
2.000000,0.002000,7.547801,-41.238346,912.123120,-105.576097,-28.513914,-1.679696,0.031261,-0.115748
3.000000,0.003000,7.538882,-40.809517,912.117686,-105.331076,-28.611563,-1.679530,0.031368,-0.115480
4.000000,0.004000,7.947044,-39.944767,912.114137,-105.117548,-28.484218,-1.679623,0.031229,-0.115246
5.000000,0.005000,7.933650,-39.303067,912.475229,-104.956294,-28.532400,-1.649740,0.031269,-0.115024
6.000000,0.006000,8.136848,-38.871016,912.473358,-104.710396,-28.516460,-1.689370,0.031252,-0.114754
7.000000,0.007000,8.341122,-38.438098,912.831503,-104.534879,-28.452833,-1.649349,0.031170,-0.114517
8.000000,0.008000,8.544909,-38.005844,913.558052,-104.427760,-28.533214,-1.688880,0.031233,-0.114309
9.000000,0.009000,8.540830,-37.791529,913.558709,-104.164998,-28.435500,-1.659406,0.031126,-0.114021
10.000000,0.010000,8.313790,-37.154797,913.196151,-104.002549,-28.402687,-1.669970,0.031103,-0.113889
11.000000,0.011000,8.304318,-36.726425,913.918887,-103.756729,-28.402164,-1.669812,0.031077,-0.113529
12.000000,0.012000,8.299727,-36.512465,913.917208,-103.494368,-28.401453,-1.639862,0.031077,-0.113243
13.000000,0.013000,8.290452,-36.084253,914.277928,-103.317797,-28.352960,-1.639970,0.031011,-0.113005
14.000000,0.014000,8.498018,-35.865694,914.269011,-103.197014,-28.338695,-1.629255,0.030996,-0.112874
15.000000,0.015000,8.481788,-35.009440,913.542768,-102.981685,-28.339557,-1.570374,0.031022,-0.112728
16.000000,0.016000,8.255357,-34.372091,913.908772,-102.818976,-28.305871,-1.581097,0.030972,-0.112505
17.000000,0.017000,8.251061,-34.158030,914.271303,-102.626004,-28.353321,-1.551098,0.031012,-0.112249
18.000000,0.018000,8.241177,-33.730434,913.903460,-102.449694,-28.305701,-1.551047,0.030972,-0.112101
19.000000,0.019000,8.018622,-33.306519,914.260225,-102.273462,-28.273498,-1.511207,0.030925,-0.111865
20.000000,0.020000,8.017835,-33.306562,913.893821,-102.065434,-28.225146,-1.511039,0.030884,-0.111682
21.000000,0.021000,8.008265,-32.878451,913.890331,-101.819473,-28.128493,-1.511197,0.030779,-0.111413
22.000000,0.022000,8.005232,-32.663737,913.165011,-101.696149,-28.129142,-1.481932,0.030804,-0.111367
23.000000,0.023000,7.995348,-32.236142,912.797169,-101.519838,-28.081523,-1.481881,0.030764,-0.111218
24.000000,0.024000,7.987840,-31.808558,912.438376,-101.480281,-28.032705,-1.422899,0.030723,-0.111219
25.000000,0.025000,7.557719,-31.603201,912.804057,-101.424832,-28.014768,-1.393774,0.030691,-0.111113
26.000000,0.026000,7.551147,-31.389551,912.069296,-101.164215,-27.919316,-1.423288,0.030611,-0.110917
