Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.175734,2.990372,895.078214,6.762632,-50.545636,1.441632,0.056471,0.007555
1.000000,0.001000,-0.173652,2.990260,894.723054,6.695268,-50.496277,1.500513,0.056438,0.007483
2.000000,0.002000,0.039628,2.994556,894.727010,6.695607,-50.479988,1.460565,0.056419,0.007483
3.000000,0.003000,-0.171228,2.774929,894.719810,6.571684,-50.496501,1.471408,0.056438,0.007345
4.000000,0.004000,-0.171031,2.774769,894.357794,6.502435,-50.448532,1.471141,0.056408,0.007271
5.000000,0.005000,0.042249,2.779065,894.361750,6.502774,-50.432242,1.431193,0.056389,0.007271
6.000000,0.006000,0.042249,2.779065,894.361750,6.502774,-50.432242,1.431193,0.056389,0.007271
7.000000,0.007000,-0.171387,2.774152,894.723949,6.433985,-50.302391,1.470867,0.056221,0.007191
8.000000,0.008000,-0.171702,2.773636,894.359596,6.364335,-50.351424,1.471076,0.056299,0.007116
9.000000,0.009000,-0.165916,2.559943,894.727954,6.311747,-50.398524,1.500758,0.056328,0.007054
10.000000,0.010000,-0.162112,2.345940,894.363229,6.257414,-50.350883,1.470975,0.056298,0.006997
11.000000,0.011000,-0.161797,2.346455,894.727582,6.327064,-50.301850,1.470766,0.056220,0.007071
12.000000,0.012000,-0.161915,2.345780,894.001213,6.188165,-50.302914,1.470709,0.056267,0.006922
13.000000,0.013000,-0.158308,2.131937,893.998504,6.203081,-50.303242,1.441193,0.056268,0.006939
14.000000,0.014000,-0.159176,2.130964,894.362322,6.134231,-50.254104,1.441395,0.056190,0.006859
15.000000,0.015000,-0.156800,2.130954,894.371372,5.997477,-50.252906,1.500325,0.056188,0.006706
16.000000,0.016000,-0.154159,1.915877,894.006256,5.943683,-50.107966,1.470695,0.056049,0.006648
17.000000,0.017000,-0.153864,1.915978,894.370466,5.874294,-50.156127,1.470744,0.056080,0.006568
18.000000,0.018000,-0.154732,1.915006,894.734284,5.805443,-50.106988,1.470946,0.056002,0.006488
19.000000,0.019000,-0.362009,1.697270,894.736812,5.822306,-50.025214,1.540050,0.055911,0.006507
20.000000,0.020000,-0.362009,1.697270,894.736812,5.822306,-50.025214,1.540050,0.055911,0.006507
21.000000,0.021000,-0.362127,1.696595,894.010443,5.683407,-50.026279,1.539993,0.055957,0.006357
22.000000,0.022000,-0.362798,1.695462,894.012245,5.545308,-49.929171,1.539928,0.055848,0.006203
23.000000,0.023000,-0.359191,1.481619,894.009537,5.560224,-49.929499,1.510412,0.055849,0.006219
24.000000,0.024000,-0.786868,1.472059,894.372118,5.631128,-49.814591,1.510173,0.055698,0.006296
25.000000,0.025000,-0.573391,1.476195,894.014057,5.562218,-49.750333,1.469959,0.055648,0.006222
26.000000,0.026000,-0.787539,1.470926,894.373920,5.493029,-49.717484,1.510108,0.055589,0.006142
27.000000,0.027000,-0.781753,1.257233,894.742277,5.440440,-49.764584,1.539789,0.055619,0.006080
28.000000,0.028000,-0.781556,1.257073,894.380261,5.371191,-49.716614,1.539523,0.055588,0.006005
29.000000,0.029000,-0.989345,1.038982,894.380452,5.387654,-49.731843,1.609103,0.055605,0.006024
30.000000,0.030000,-0.985835,0.824877,893.651518,5.402710,-49.636041,1.579272,0.055543,0.006046
31.000000,0.031000,-0.986506,0.823745,893.653320,5.264611,-49.538934,1.579207,0.055434,0.005891
32.000000,0.032000,-1.200923,0.818067,894.019713,5.196815,-49.504930,1.539278,0.055373,0.005813
33.000000,0.033000,-1.194564,0.605244,893.660043,5.282467,-49.553008,1.568708,0.055450,0.005911
34.000000,0.034000,-1.201041,0.817391,893.293344,5.057916,-49.505995,1.539221,0.055420,0.005662
35.000000,0.035000,-1.200529,0.817747,893.295682,5.058317,-49.408992,1.538745,0.055311,0.005663
36.000000,0.036000,-1.414657,0.812892,893.655687,5.128167,-49.278949,1.578636,0.055143,0.005738
37.000000,0.037000,-1.408968,0.598937,893.297818,5.075719,-49.229919,1.608001,0.055110,0.005682
38.000000,0.038000,-1.405164,0.384934,892.933094,5.021386,-49.182278,1.578219,0.055079,0.005623
39.000000,0.039000,-1.618713,0.380228,892.935669,5.022441,-49.197413,1.538089,0.055096,0.005625
40.000000,0.040000,-1.835956,0.589158,893.300577,4.938736,-49.067233,1.607279,0.054928,0.005529
41.000000,0.041000,-1.836313,0.588540,893.666732,4.870286,-48.921092,1.607005,0.054742,0.005450
42.000000,0.042000,-2.040592,0.156345,892.937989,4.901805,-48.840519,1.646753,0.054696,0.005490
43.000000,0.043000,-2.044199,0.370188,892.940698,4.886889,-48.840191,1.676269,0.054696,0.005473
44.000000,0.044000,-2.044870,0.369055,892.942500,4.748789,-48.743083,1.676204,0.054587,0.005318
45.000000,0.045000,-2.039882,0.156540,892.578310,4.832956,-48.695548,1.646011,0.054556,0.005415
46.000000,0.046000,-2.467580,0.146566,892.940748,4.764822,-48.677834,1.646031,0.054514,0.005336
47.000000,0.047000,-2.471284,0.360147,892.217231,4.750046,-48.581375,1.675231,0.054450,0.005324
48.000000,0.048000,-2.462857,-0.068623,892.220471,4.643664,-48.483535,1.675282,0.054340,0.005205
49.000000,0.049000,-2.462659,-0.068783,891.858455,4.574415,-48.435566,1.675015,0.054309,0.005129
