Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-19.220818,15.754665,857.813653,-14.025588,-26.562286,1.779052,0.030965,-0.016350
1.000000,0.001000,-19.425584,15.321806,857.453314,-14.062466,-26.625722,1.739247,0.031052,-0.016400
2.000000,0.002000,-19.003951,15.544704,857.814757,-14.149372,-26.643519,1.709847,0.031060,-0.016495
3.000000,0.003000,-19.005134,15.543217,857.814222,-14.287872,-26.643414,1.710257,0.031060,-0.016656
4.000000,0.004000,-19.209291,15.110974,858.182446,-14.324490,-26.705977,1.670293,0.031119,-0.016692
5.000000,0.005000,-19.212898,15.324817,858.185155,-14.339406,-26.705649,1.699808,0.031119,-0.016709
6.000000,0.006000,-18.996031,15.114857,858.186259,-14.463190,-26.786882,1.630603,0.031213,-0.016853
7.000000,0.007000,-18.995163,15.115829,857.822441,-14.394340,-26.836020,1.630402,0.031284,-0.016780
8.000000,0.008000,-18.991576,14.901572,857.819589,-14.518463,-26.933543,1.601145,0.031398,-0.016925
9.000000,0.009000,-18.992759,14.900085,857.819054,-14.656963,-26.933438,1.601555,0.031398,-0.017086
10.000000,0.010000,-18.989270,14.685567,857.089977,-14.780946,-26.934830,1.571982,0.031426,-0.017246
11.000000,0.011000,-18.989290,14.685153,857.089834,-14.919985,-27.032024,1.572241,0.031539,-0.017408
12.000000,0.012000,-18.988442,14.685712,856.725873,-14.990173,-27.178357,1.572298,0.031724,-0.017497
13.000000,0.013000,-18.979364,14.257660,856.727168,-15.097495,-27.274818,1.572673,0.031836,-0.017622
14.000000,0.014000,-18.982234,14.255964,856.357761,-15.307129,-27.228134,1.513669,0.031795,-0.017875
15.000000,0.015000,-18.759322,13.832666,855.634842,-15.414911,-27.406477,1.474104,0.032031,-0.018016
16.000000,0.016000,-18.545596,13.836798,855.270107,-15.624254,-27.440567,1.514226,0.032084,-0.018268
17.000000,0.017000,-18.541832,13.621967,854.905097,-15.956665,-27.587315,1.484961,0.032269,-0.018665
18.000000,0.018000,-18.327999,13.626721,854.180881,-15.957125,-27.669197,1.445021,0.032393,-0.018681
19.000000,0.019000,-18.324529,13.411789,853.451661,-16.220147,-27.767784,1.415707,0.032536,-0.019005
20.000000,0.020000,-18.101974,12.987873,853.094896,-16.396379,-27.799987,1.375867,0.032587,-0.019220
21.000000,0.021000,-17.884956,12.777647,852.363100,-16.660455,-27.883439,1.386683,0.032713,-0.019546
22.000000,0.022000,-17.880816,12.563847,851.632077,-16.785377,-28.079133,1.357433,0.032971,-0.019710
23.000000,0.023000,-17.664066,12.353211,850.906812,-17.048060,-28.161430,1.288171,0.033096,-0.020035
24.000000,0.024000,-17.233474,12.147383,850.543182,-17.381187,-28.276753,1.259088,0.033246,-0.020435
25.000000,0.025000,-17.229136,11.933423,849.450143,-17.575358,-28.424478,1.229572,0.033462,-0.020690
26.000000,0.026000,-16.797151,11.727701,849.091175,-17.767962,-28.538220,1.259854,0.033610,-0.020926
27.000000,0.027000,-16.585893,11.730860,848.361763,-18.047445,-28.621579,1.160959,0.033737,-0.021273
28.000000,0.028000,-16.584750,11.731520,848.362012,-18.187023,-28.816072,1.161066,0.033967,-0.021438
29.000000,0.029000,-16.154137,11.526106,847.998524,-18.381111,-28.834201,1.131724,0.034003,-0.021676
30.000000,0.030000,-16.154492,11.524763,847.633885,-18.728839,-29.077622,1.132451,0.034304,-0.022095
31.000000,0.031000,-15.937625,11.314802,847.634989,-18.852623,-29.158855,1.063245,0.034400,-0.022241
32.000000,0.032000,-15.725230,11.319343,846.535228,-19.064650,-29.292507,1.044228,0.034603,-0.022521
33.000000,0.033000,-15.077454,10.903344,845.806260,-19.731189,-29.829592,0.946731,0.035268,-0.023328
34.000000,0.034000,-14.857138,10.478038,845.078001,-20.257034,-30.106606,0.848470,0.035626,-0.023971
35.000000,0.035000,-14.642761,10.482888,844.711321,-20.467317,-30.334997,0.888916,0.035912,-0.024230
36.000000,0.036000,-14.426209,10.272412,844.348073,-20.660750,-30.465264,0.819920,0.036081,-0.024469
37.000000,0.037000,-14.427937,10.271377,843.978915,-21.009963,-30.613072,0.761023,0.036272,-0.024894
38.000000,0.038000,-14.213560,10.276228,843.612235,-21.220245,-30.841464,0.801469,0.036559,-0.025154
39.000000,0.039000,-13.997125,10.065077,842.522617,-21.552577,-30.972794,0.732416,0.036762,-0.025581
40.000000,0.040000,-13.988886,9.637376,841.791080,-21.801222,-31.169008,0.673434,0.037027,-0.025899
41.000000,0.041000,-13.557622,9.432679,841.425648,-21.996249,-31.381439,0.644416,0.037296,-0.026142
42.000000,0.042000,-13.346070,9.435940,841.060445,-22.345122,-31.512958,0.545571,0.037468,-0.026568
43.000000,0.043000,-13.122417,9.012579,840.333046,-22.731976,-31.789842,0.586125,0.037830,-0.027051
44.000000,0.044000,-12.904748,8.803071,839.599304,-22.996991,-32.067595,0.597265,0.038194,-0.027390
45.000000,0.045000,-12.693195,8.806332,839.234102,-23.345865,-32.199114,0.498420,0.038367,-0.027818
46.000000,0.046000,-12.475232,8.596926,838.864571,-23.680270,-32.525028,0.509609,0.038773,-0.028229
47.000000,0.047000,-12.040361,8.178387,838.496430,-23.860381,-32.737787,0.451075,0.039043,-0.028456
48.000000,0.048000,-11.822352,7.969086,838.497783,-24.123744,-33.013514,0.381977,0.039372,-0.028770
49.000000,0.049000,-11.171324,7.340391,838.490425,-24.358791,-33.452477,0.254980,0.039896,-0.029051
50.000000,0.050000,-10.524259,6.924922,838.851931,-24.677204,-33.744971,0.157224,0.040228,-0.029418
51.000000,0.051000,-10.086071,6.291716,838.487469,-24.980045,-34.054098,-0.010645,0.040614,-0.029792
52.000000,0.052000,-9.223989,5.882488,838.125295,-25.160418,-34.428580,-0.148751,0.041078,-0.030020
53.000000,0.053000,-8.148933,5.477094,838.488572,-25.480086,-34.786949,-0.246477,0.041488,-0.030388
54.000000,0.054000,-7.510098,5.490235,838.484821,-25.761365,-35.129314,-0.344550,0.041896,-0.030724
55.000000,0.055000,-6.860830,5.076961,837.750144,-26.012720,-35.473271,-0.362896,0.042343,-0.031051
56.000000,0.056000,-6.222254,5.089746,838.838774,-26.362590,-35.765625,-0.460927,0.042637,-0.031427
57.000000,0.057000,-5.574518,4.675409,839.198477,-26.542904,-36.155227,-0.558618,0.043083,-0.031629
58.000000,0.058000,-4.935683,4.688550,839.194726,-26.824183,-36.497592,-0.656691,0.043491,-0.031964
59.000000,0.059000,-4.290076,4.489646,839.921883,-26.950302,-36.935131,-0.725227,0.043974,-0.032087
60.000000,0.060000,-3.647734,4.289365,841.003666,-27.147558,-37.421924,-0.852233,0.044497,-0.032280
61.000000,0.061000,-2.786916,3.879484,841.729341,-27.258283,-37.843205,-0.989605,0.044959,-0.032384
62.000000,0.062000,-1.931025,3.683910,842.808548,-27.456593,-38.314863,-1.076482,0.045461,-0.032577
63.000000,0.063000,-1.291224,3.698285,843.167205,-27.669163,-38.802496,-1.174440,0.046020,-0.032816
64.000000,0.064000,-0.216562,3.293211,844.254514,-27.850333,-39.256804,-1.271633,0.046499,-0.032988
65.000000,0.065000,0.852923,3.102448,845.702030,-27.978654,-39.663138,-1.398667,0.046900,-0.033083
66.000000,0.066000,1.714905,2.693641,846.428097,-28.089919,-40.181719,-1.536191,0.047472,-0.033186
67.000000,0.067000,2.784273,2.502202,847.149243,-28.357139,-40.589118,-1.663282,0.047913,-0.033474
68.000000,0.068000,3.432420,2.088642,848.599526,-28.467943,-41.025816,-1.760866,0.048345,-0.033547
69.000000,0.069000,4.497984,2.111207,849.685397,-28.680830,-41.480856,-1.858175,0.048819,-0.033755
70.000000,0.070000,5.354789,1.916710,850.771670,-28.739246,-41.951464,-2.025540,0.049310,-0.033780
71.000000,0.071000,6.210797,1.721810,852.577246,-28.798658,-42.422058,-2.112359,0.049757,-0.033778
72.000000,0.072000,7.276164,1.744535,854.025133,-28.942296,-42.925067,-2.209402,0.050262,-0.033889
73.000000,0.073000,8.134656,1.550246,855.480278,-28.929578,-43.442255,-2.317353,0.050781,-0.033817
74.000000,0.074000,8.776821,1.350539,856.924219,-28.918545,-43.879822,-2.444352,0.051206,-0.033747
75.000000,0.075000,9.842385,1.373104,858.010090,-29.131432,-44.334862,-2.541661,0.051672,-0.033952
76.000000,0.076000,10.908934,1.397316,859.458512,-29.136570,-44.837976,-2.639114,0.052170,-0.033901
77.000000,0.077000,11.551394,1.197711,861.266663,-29.194926,-45.323705,-2.766063,0.052624,-0.033898
78.000000,0.078000,12.627239,0.794125,862.354508,-29.237596,-45.778117,-2.863666,0.053085,-0.033904
79.000000,0.079000,13.265776,0.807847,863.801015,-29.380518,-46.312550,-2.960891,0.053615,-0.034013
80.000000,0.080000,13.904826,0.821925,865.249859,-29.523040,-46.749981,-3.058591,0.054031,-0.034121
81.000000,0.081000,14.549190,0.622782,867.065009,-29.440473,-47.137126,-3.126651,0.054364,-0.033954
82.000000,0.082000,15.614951,0.645186,867.788864,-29.722609,-47.544197,-3.224226,0.054788,-0.034251
83.000000,0.083000,16.263099,0.231626,869.239146,-29.833413,-47.980895,-3.321810,0.055199,-0.034321
84.000000,0.084000,16.903286,0.247086,870.317641,-29.908478,-48.468619,-3.339633,0.055691,-0.034365
85.000000,0.085000,17.760812,0.051563,871.410378,-29.964470,-48.840539,-3.447699,0.056048,-0.034386
86.000000,0.086000,18.400445,0.066566,873.217044,-30.038735,-49.230090,-3.465530,0.056378,-0.034400
87.000000,0.087000,19.252363,0.084163,873.579264,-30.250427,-49.604136,-3.603285,0.056783,-0.034628
88.000000,0.088000,19.895486,-0.115352,874.656852,-30.448675,-49.995080,-3.650688,0.057160,-0.034812
89.000000,0.089000,20.539930,-0.315331,875.383617,-30.574255,-50.335320,-3.719072,0.057501,-0.034927
90.000000,0.090000,20.972769,-0.518177,876.109156,-30.700313,-50.692146,-3.748135,0.057861,-0.035042
91.000000,0.091000,21.611918,-0.504520,876.469758,-30.911943,-50.985478,-3.846418,0.058171,-0.035269
92.000000,0.092000,21.829533,-0.713501,877.195143,-31.036807,-51.357143,-3.914983,0.058547,-0.035382
93.000000,0.093000,22.472853,-0.913176,877.910715,-31.304304,-51.700118,-3.962653,0.058890,-0.035658
94.000000,0.094000,22.904214,-1.117611,878.271509,-31.499472,-52.008678,-3.991355,0.059217,-0.035865
95.000000,0.095000,23.336088,-1.321691,878.634639,-31.694239,-52.220236,-4.020533,0.059433,-0.036072
96.000000,0.096000,23.553300,-1.531394,879.355295,-31.958596,-52.495948,-4.009086,0.059698,-0.036343
97.000000,0.097000,23.985371,-1.735633,879.356409,-32.222613,-52.659536,-4.038530,0.059884,-0.036643
98.000000,0.098000,24.203452,-1.944364,879.713247,-32.418119,-52.984386,-4.027284,0.060229,-0.036851
99.000000,0.099000,24.207825,-2.158578,880.076800,-32.750270,-53.130261,-4.056708,0.060370,-0.037213
100.000000,0.100000,24.423365,-2.152653,879.710512,-32.961092,-53.455952,-4.016414,0.060765,-0.037468
101.000000,0.101000,24.427129,-2.367484,879.345502,-33.293503,-53.602699,-4.045679,0.060957,-0.037862
102.000000,0.102000,24.649329,-2.789703,879.701968,-33.473693,-53.830875,-4.064424,0.061192,-0.038051
103.000000,0.103000,24.659746,-3.217254,879.341497,-33.789842,-54.073860,-4.064209,0.061494,-0.038426
104.000000,0.104000,24.658334,-3.217774,879.336692,-34.069404,-54.172635,-4.123315,0.061606,-0.038744
105.000000,0.105000,24.882813,-3.640265,878.975982,-34.386207,-54.303483,-4.083445,0.061780,-0.039121
106.000000,0.106000,24.673611,-3.858876,878.971369,-34.649308,-54.417487,-4.072971,0.061910,-0.039420
107.000000,0.107000,24.893992,-4.067465,878.611173,-34.842388,-54.547815,-4.003369,0.062084,-0.039656
108.000000,0.108000,24.685085,-4.285975,878.970770,-35.174878,-54.709979,-3.992845,0.062243,-0.040018
109.000000,0.109000,24.476752,-4.503614,878.602339,-35.369128,-54.873121,-3.982572,0.062455,-0.040256
110.000000,0.110000,24.486788,-4.931475,878.237281,-35.685731,-54.922959,-3.902602,0.062538,-0.040633
111.000000,0.111000,24.279471,-5.150038,878.239524,-35.946946,-55.035573,-3.832980,0.062666,-0.040931
112.000000,0.112000,23.857212,-5.373414,878.239680,-36.347630,-55.164903,-3.862853,0.062813,-0.041387
113.000000,0.113000,23.653405,-5.806082,877.512988,-36.593789,-55.181716,-3.823063,0.062884,-0.041702
114.000000,0.114000,23.655308,-5.805070,877.508900,-36.873399,-55.377555,-3.743095,0.063108,-0.042021
115.000000,0.115000,23.447894,-6.023895,876.784917,-37.134474,-55.394039,-3.673789,0.063179,-0.042353
116.000000,0.116000,23.238693,-6.242507,876.780303,-37.397574,-55.508043,-3.663315,0.063309,-0.042653
