Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,1.467299,-0.495221,888.802693,-4.722165,-78.418839,-0.066197,0.088230,-0.005313
1.000000,0.001000,1.476397,-0.922859,888.804131,-4.690448,-78.418106,-0.066081,0.088229,-0.005277
2.000000,0.002000,1.476397,-0.922859,888.804131,-4.690448,-78.418106,-0.066081,0.088229,-0.005277
3.000000,0.003000,1.476200,-0.922699,889.166147,-4.621199,-78.466075,-0.065814,0.088247,-0.005197
4.000000,0.004000,1.690043,-0.917891,889.527782,-4.691643,-78.499101,-0.025635,0.088248,-0.005274
5.000000,0.005000,1.695534,-1.131686,889.531929,-4.674842,-78.498040,0.003997,0.088246,-0.005255
6.000000,0.006000,1.695534,-1.131686,889.531929,-4.674842,-78.498040,0.003997,0.088246,-0.005255
7.000000,0.007000,1.482549,-1.135881,889.892183,-4.744570,-78.562490,0.043995,0.088283,-0.005332
8.000000,0.008000,1.482549,-1.135881,889.892183,-4.744570,-78.562490,0.043995,0.088283,-0.005332
9.000000,0.009000,1.698277,-1.131026,890.260674,-4.813129,-78.594127,0.143322,0.088282,-0.005406
10.000000,0.010000,1.489203,-1.348602,889.896723,-4.728308,-78.658728,0.073475,0.088391,-0.005313
11.000000,0.011000,1.489203,-1.348602,889.896723,-4.728308,-78.658728,0.073475,0.088391,-0.005313
12.000000,0.012000,1.703046,-1.343795,890.258357,-4.798752,-78.691754,0.113654,0.088392,-0.005390
13.000000,0.013000,1.703046,-1.343795,890.258357,-4.798752,-78.691754,0.113654,0.088392,-0.005390
14.000000,0.014000,1.703046,-1.343795,890.258357,-4.798752,-78.691754,0.113654,0.088392,-0.005390
15.000000,0.015000,1.705245,-1.343232,890.629566,-4.727217,-78.641332,0.172593,0.088299,-0.005308
16.000000,0.016000,1.708832,-1.557488,890.626714,-4.851340,-78.738854,0.143336,0.088408,-0.005447
17.000000,0.017000,1.708832,-1.557488,890.626714,-4.851340,-78.738854,0.143336,0.088408,-0.005447
18.000000,0.018000,1.495552,-1.561784,890.622759,-4.851679,-78.755143,0.183284,0.088427,-0.005448
19.000000,0.019000,1.923249,-1.551810,890.260321,-4.783544,-78.772857,0.183264,0.088483,-0.005373
20.000000,0.020000,1.923544,-1.551709,890.624531,-4.852934,-78.821018,0.183314,0.088501,-0.005449
21.000000,0.021000,1.923544,-1.551709,890.624531,-4.852934,-78.821018,0.183314,0.088501,-0.005449
22.000000,0.022000,1.715755,-1.769800,890.624722,-4.836472,-78.836247,0.252894,0.088518,-0.005430
23.000000,0.023000,1.923544,-1.551709,890.624531,-4.852934,-78.821018,0.183314,0.088501,-0.005449
24.000000,0.024000,1.929232,-1.765664,890.266662,-4.905382,-78.771988,0.212679,0.088481,-0.005510
25.000000,0.025000,2.143944,-1.759884,890.264478,-4.906975,-78.854152,0.252658,0.088574,-0.005512
26.000000,0.026000,1.930395,-1.764590,890.267054,-4.905921,-78.869287,0.212527,0.088591,-0.005511
27.000000,0.027000,1.931558,-1.763516,890.267446,-4.906460,-78.966586,0.212376,0.088700,-0.005511
28.000000,0.028000,1.931558,-1.763516,890.267446,-4.906460,-78.966586,0.212376,0.088700,-0.005511
29.000000,0.029000,1.935165,-1.977359,890.264738,-4.891544,-78.966915,0.182860,0.088700,-0.005494
30.000000,0.030000,2.149009,-1.972552,890.626372,-4.961988,-78.999940,0.223039,0.088702,-0.005571
31.000000,0.031000,2.154697,-2.186507,890.268503,-5.014436,-78.950910,0.252405,0.088682,-0.005632
32.000000,0.032000,2.155860,-2.185433,890.268895,-5.014975,-79.048209,0.252253,0.088791,-0.005633
33.000000,0.033000,2.156728,-2.184460,889.905077,-4.946124,-79.097348,0.252052,0.088883,-0.005558
34.000000,0.034000,2.369988,-2.180578,889.908890,-5.084825,-79.178253,0.212362,0.088973,-0.005714
35.000000,0.035000,2.374975,-2.393093,889.544700,-5.000657,-79.130717,0.182170,0.088956,-0.005622
36.000000,0.036000,2.584897,-2.174958,889.544690,-5.155667,-79.212448,0.252074,0.089048,-0.005796
37.000000,0.037000,2.589373,-2.387829,889.178164,-5.071901,-79.261914,0.222357,0.089141,-0.005704
38.000000,0.038000,2.802653,-2.383533,889.182119,-5.071562,-79.245625,0.182409,0.089122,-0.005704
39.000000,0.039000,3.017365,-2.377753,889.179936,-5.073155,-79.327789,0.222387,0.089215,-0.005705
40.000000,0.040000,3.017659,-2.377652,889.544146,-5.142545,-79.375950,0.222436,0.089232,-0.005781
41.000000,0.041000,3.018725,-2.376839,888.818312,-5.142943,-79.377119,0.221969,0.089306,-0.005786
42.000000,0.042000,3.450324,-2.580607,888.817375,-5.129282,-79.443322,0.192483,0.089381,-0.005771
43.000000,0.043000,3.237044,-2.584903,888.813420,-5.129621,-79.459612,0.232431,0.089400,-0.005771
44.000000,0.044000,3.447880,-2.365690,888.820476,-5.144737,-79.540293,0.221847,0.089490,-0.005788
45.000000,0.045000,3.448748,-2.364717,888.456658,-5.075887,-79.589431,0.221645,0.089582,-0.005713
46.000000,0.046000,3.662277,-2.360425,888.453939,-5.215980,-79.671491,0.262034,0.089674,-0.005871
47.000000,0.047000,3.667965,-2.574380,888.096071,-5.268428,-79.622461,0.291399,0.089655,-0.005932
48.000000,0.048000,3.877186,-2.354805,888.089740,-5.286823,-79.705686,0.301746,0.089750,-0.005953
49.000000,0.049000,3.878152,-2.353571,888.452148,-5.218113,-79.850954,0.301860,0.089876,-0.005873
50.000000,0.050000,3.878349,-2.353732,888.090132,-5.287362,-79.802985,0.301594,0.089859,-0.005954
51.000000,0.051000,4.092497,-2.348463,887.730269,-5.218173,-79.835834,0.261444,0.089933,-0.005878
52.000000,0.052000,3.879512,-2.352658,888.090524,-5.287901,-79.900284,0.301442,0.089969,-0.005954
53.000000,0.053000,4.094224,-2.346878,888.088340,-5.289494,-79.982448,0.341420,0.090061,-0.005956
54.000000,0.054000,4.307189,-2.343097,887.727943,-5.358805,-80.015192,0.301681,0.090135,-0.006037
55.000000,0.055000,4.094204,-2.347292,888.088197,-5.428534,-80.079642,0.341679,0.090171,-0.006113
56.000000,0.056000,4.308352,-2.342023,887.728335,-5.359344,-80.112491,0.301529,0.090244,-0.006037
57.000000,0.057000,4.522196,-2.337216,888.089969,-5.429788,-80.145517,0.341709,0.090245,-0.006114
58.000000,0.058000,4.523261,-2.336403,887.364135,-5.430187,-80.146686,0.341241,0.090320,-0.006119
59.000000,0.059000,4.737105,-2.331596,887.725770,-5.500631,-80.179712,0.381420,0.090320,-0.006196
60.000000,0.060000,4.518933,-2.121535,887.360380,-5.447527,-80.245046,0.311457,0.090431,-0.006139
61.000000,0.061000,4.524404,-2.335743,887.364384,-5.569765,-80.341179,0.341348,0.090539,-0.006277
